정규화 방식,가중치 (alpha),순위,점수,내용,국가유산명_국문,시대,소재지상세
min_max,0.1,1,0.9826616760805702,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.1,2,0.9253032608579257,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
min_max,0.1,3,0.8705955147743225,국가유산명_국문: 서울 북한산 신라 진흥왕 순수비 국가유산명_한자: 서울 北漢山 新羅 眞興,서울 북한산 신라 진흥왕 순수비,신라 진흥왕대,"서울 용산구 서빙고로 137, 국립중앙박물관 (용산동6가)"

in_max,0.2,1,0.9653234117657853,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.2,2,0.8733308521411137,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원
min_max,0.2,3,0.8432330882141077,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"

min_max,0.3,1,0.9479850878463556,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.3,2,0.8443833284957831,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
min_max,0.3,3,0.8213583838196571,국가유산명_국문: 서울 원각사지 십층석탑 국가유산명_한자: 서울 圓覺寺址 十層石塔 국가유산,서울 원각사지 십층석탑,조선시대 초기 15세기,서울 종로구 종로 99 (종로2가) / (지번)서울 종로구 종로2가 38-2번지 탑골공원

min_max,0.4,1,0.9306468235315706,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.4,2,0.8455336283821034,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
min_max,0.4,3,0.8286151964981858,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

min_max,0.5,1,0.9133084996121408,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.5,2,0.8466838388614565,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"
min_max,0.5,3,0.8374751010933896,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

min_max,0.6,1,0.8959702054950335,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.6,2,0.8517960791856913,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
min_max,0.6,3,0.8478341089454543,국가유산명_국문: 안동 봉정사 극락전 국가유산명_한자: 安東 鳳停寺 極樂殿 국가유산종목: ,안동 봉정사 극락전,고려시대 후기,"경북 안동시 서후면 봉정사길 222, 봉정사 (태장리)"

min_max,0.7,1,0.8786319113779261,국가유산명_국문: 서울 숭례문 국가유산명_한자: 서울 崇禮門 국가유산종목: 국보 시도명: ,서울 숭례문,조선 태조 7년(1398),서울 중구 세종대로 40 (남대문로4가)
min_max,0.7,2,0.869409830959242,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
min_max,0.7,3,0.855194969888442,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

min_max,0.8,1,0.8871346518397332,국가유산명_국문: 봉은사 판전 국가유산명_한자: 奉恩寺 板殿 국가유산종목: 시도유형문화유산,봉은사 판전,NaN,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)"
min_max,0.8,2,0.8870235529304702,국가유산명_국문: 나전 화문 동경 국가유산명_한자: 螺鈿 花文 銅鏡 국가유산종목: 국보 시,나전 화문 동경,미상,"서울 용산구 이태원로55길 60-16, 삼성미술관 리움 (한남동)"
min_max,0.8,3,0.864054889384807,국가유산명_국문: 예산 수덕사 대웅전 국가유산명_한자: 禮山 修德寺 大雄殿 국가유산종목: ,예산 수덕사 대웅전,고려 충렬왕 34년(1308),"충청남도 예산군 수덕사안길 79 (덕산면, 수덕사)"

min_max,0.9,1,0.9435673259198666,국가유산명_국문: 봉은사 판전 국가유산명_한자: 奉恩寺 板殿 국가유산종목: 시도유형문화유산,봉은사 판전,NaN,"서울특별시 강남구 봉은사로 531 (삼성동, 봉은사)"
min_max,0.9,2,0.908791456699125,국가유산명_국문: 단청장 국가유산명_한자: 丹靑匠 국가유산종목: 시도무형유산 시도명: 대구,단청장,NaN,대구광역시 중구
