순위,업소명,주소,분류
1,일산칼국수본점,경기 고양시 일산동구 경의로 467-0,한식
2,장어의꿈,경기 남양주시 순화궁로 492-6,전문음식
3,강강술래늘봄농원점,경기 고양시 덕양구 호국로 1526-3,한식
4,포지티브스페이스566,경기 김포시 검단로 910-0,카페/찻집
5,행주산성원조국수집,경기 고양시 덕양구 행주로17번길 10-0,한식
6,송추가마골본관,경기 양주시 호국로 525-0,한식
7,포레스트아웃팅스일산본점,경기 고양시 일산동구 고양대로 1124-0,카페/찻집
8,산으로간고등어,경기 용인시 수지구 고기로 126-0,한식
9,유치회관본점,경기 수원시 팔달구 효원로292번길 67-0,한식
10,가보정갈비1관,경기 수원시 팔달구 장다리로 282-0,한식
11,고기리막국수,경기 용인시 수지구 이종무로 157-0,한식
12,혜경궁베이커리,경기 화성시 보통내길219번길 13-12,간이음식
13,본수원갈비본점,경기 수원시 팔달구 중부대로223번길 41-0,한식
14,모쿠슈라2호점,경기 파주시 기곡길 138-0,카페/찻집
15,스타벅스더양평DT점,경기 양평군 양근로 76-0,카페/찻집
16,청담추어정,경기 성남시 수정구 여수대로56번길 3-0,한식
17,망향비빔국수본점,경기 연천군 궁평로 5-0,한식
18,파크프리베,경기 의정부시 동일로192번길 28-27,카페/찻집
19,꼬꼬오리주물럭,경기 김포시 흥신로239번길 49-0,전문음식
20,파네트리 제과명장 김영모,경기 성남시 수정구 설개로14번길 23-0,간이음식
21,목향원[한식],경기 남양주시 덕릉로1071번길 34-11,한식
22,주막보리밥서오릉본점,경기 고양시 덕양구 용두로47번길 133-0,한식
23,보나리베,경기 남양주시 불암산로39번길 9-2,카페/찻집
24,장모밥상[한식],경기 성남시 분당구 하오개로344번길 5-0,한식
25,문지리535,경기 파주시 자유로 3902-10,카페/찻집
26,본가만두전골전문점,경기 시흥시 동서로811번길 33-0,한식
27,망향비빔국수별내점,경기 남양주시 불암로 307-0,한식
28,스타벅스리버사이드팔당DT점,경기 남양주시 경강로 772-0,카페/찻집
29,우리나라,경기 의정부시 동일로128번길 11-0,한식
30,뮌스터담,경기 파주시 운정로 113-175,카페/찻집
31,만수정,경기 용인시 기흥구 신정로 135-0,전문음식
32,카페대너리스,경기 남양주시 북한강로 914-0,카페/찻집
33,아나키아,경기 의정부시 잔돌길 22-0,카페/찻집
34,팜브릿지,경기 포천시 죽엽산로 660-0,카페/찻집
35,팔당원조칼제비칼국수,경기 하남시 검단산로 348-0,한식
36,불난버섯집[한식],경기 평택시 고덕북로 63-0,한식
37,맥도날드안산고잔DT점,경기 안산시 단원구 광덕3로 145-3,간이음식
38,라온숨,경기 남양주시 북한강로 1146-0,카페/찻집
