순위,업소명,주소,분류
1,투썸플레이스창원귀산점,경남 창원시 성산구 삼귀로 167-0,카페/찻집
2,하연옥본점,경남 진주시 진주대로 1317-20,한식
3,동부회센터,경남 창원시 진해구 천자로 5-0,전문음식
4,그린하우스주남점,경남 창원시 의창구 동읍로213번길 21-29,간이음식
5,대동할매국수,경남 김해시 동남로45번길 8-0,한식
6,스타벅스창원마창대교점,경남 창원시 성산구 삼귀로 159-0,카페/찻집
7,하주옥,경남 사천시 하동길 8-11,한식
8,맥도날드양산DT점,경남 양산시 남양산길 7-0,간이음식
9,맥도날드창원사파DT점,경남 창원시 성산구 창이대로706번길 2-0,간이음식
10,소토,경남 양산시 충렬로 617-0,한식
11,마고플레인양산점,경남 양산시 동중3길 21-0,카페/찻집
12,느티나무의사랑카페,경남 양산시 여락송정로 270-2,카페/찻집
13,스타벅스창원대로DT점,경남 창원시 성산구 성산패총로 182-0,카페/찻집
14,목화휴게소식당,경남 사천시 사천대로 912-0,한식
15,밀양돼지국밥,경남 김해시 인제로 91-0,한식
16,트리폰즈,경남 양산시 충렬로 1346-0,카페/찻집
17,맥도날드김해장유DT점,경남 김해시 삼문로 34-0,간이음식
18,해월당양산점,경남 양산시 양산대로 83-0,간이음식
19,포븐,경남 김해시 대청계곡길 36-0,카페/찻집
20,쿠우쿠우진주점,경남 진주시 에나로 100-0,전문음식
21,성산명가경남본점,경남 창원시 성산구 마디미로63번길 7-0,한식
22,임진각식당,경남 창원시 의창구 팔용로 515-0,한식
23,온더선셋,경남 거제시 성포로 65-0,카페/찻집
24,쾌지나칭칭,경남 함안군 새터길 168-2,한식
25,블랙업커피양산점,경남 양산시 물금역1길 11-0,카페/찻집
26,성림목장,경남 양산시 사배1길 106-9,카페/찻집
27,스타벅스남양산IC DT점,경남 양산시 양산대로 532-0,카페/찻집
28,목민정[한식],경남 창원시 의창구 읍성로34번길 23-0,한식
29,한우마을설창점,경남 김해시 김해대로 736-0,전문음식
30,생생굴마을대풍관,경남 통영시 해송정2길 29-0,전문음식
31,온기당,경남 거제시 고현로 138-77,한식
32,로스팅웨어,경남 진주시 가호방아길 51-8,카페/찻집
33,퍼시먼커피,경남 창원시 의창구 동읍로 617-0,카페/찻집
34,겐쇼심야라멘,경남 창원시 진해구 진해대로 648-0,전문음식
35,봄내,경남 김해시 율하카페길 1-0,한식
36,동피랑전복마을,경남 통영시 해송정2길 29-0,한식
37,시티베이,경남 창원시 마산회원구 무역로 111-0,카페/찻집
38,더로드101귀산,경남 창원시 성산구 삼귀로486번길 61-8,카페/찻집
39,아웃백스테이크하우스중앙점,경남 창원시 성산구 중앙대로 33-0,전문음식
40,쿠우쿠우김해장유점,경남 김해시 삼문로 15-0,전문음식
41,삼천포맛집정서방,경남 사천시 진삼로 269-0,한식
42,배가네흥동수제비흥동점,경남 김해시 흥동로 142-0,한식
43,제비들가든,경남 밀양시 활성로 314-0,한식
44,아르세,경남 통영시 창포길 6-16,카페/찻집
45,갱고반지하,경남 창원시 성산구 삼귀로 530-0,카페/찻집
46,장수촌24시돼지국밥,경남 창원시 의창구 의창대로264번길 3-0,한식
47,스타벅스진해경화역DT점,경남 창원시 진해구 진해대로 698-0,카페/찻집
48,황포냉면,경남 진주시 호탄길34번길 10-0,한식
49,다이닝원창원점,경남 창원시 의창구 용동로83번안길 36-0,전문음식
50,맥도날드김해삼정DT점,경남 김해시 김해대로 2471-0,간이음식
51,소석200도씨,경남 양산시 충렬로 686-0,카페/찻집
52,스타벅스통영죽림점,경남 통영시 죽림해안로 64-72,카페/찻집
53,브라운핸즈마산점,경남 창원시 마산합포구 가포순환로 109-0,카페/찻집
54,진주명가밀면,경남 진주시 초전북로 129-0,한식
55,스타벅스진주초전DT점,경남 진주시 대신로 411-0,카페/찻집
56,스타벅스창원역DT점,경남 창원시 의창구 의창대로 68-0,카페/찻집
57,옵스양산점,경남 양산시 야리로 45-0,간이음식
58,스타벅스양산물금DT점,경남 양산시 황산로 346-0,카페/찻집
59,스타벅스밀양DT점,경남 밀양시 밀양대로 1792-0,카페/찻집
60,홍철책빵김해DT점,경남 김해시 율하로 443-0,간이음식
61,명륜진사갈비창원팔용점,경남 창원시 의창구 남산로115번길 3-0,한식
62,우동한그릇,경남 창원시 마산합포구 가포로 706-0,외국식
63,스타벅스김해대로DT점,경남 김해시 김해대로 2465-0,카페/찻집
64,젬스톤거제점,경남 거제시 신계해안길 90-0,카페/찻집
65,폴인커피,경남 김해시 구지로 102-0,카페/찻집
66,옛날영도집,경남 창원시 마산합포구 가포해안길 37-0,전문음식
67,더블유181,경남 거제시 거제북로 2707-0,카페/찻집
68,힙한식,경남 남해군 동부대로 2-0,한식
69,기와집순두부,경남 김해시 서부로 69-8,한식
70,도원정,경남 양산시 어실로 422-0,한식
71,오든,경남 창원시 진해구 신항4로 42-27,카페/찻집
72,맥도날드진해자은DT점,경남 창원시 진해구 진해대로 950-0,간이음식
73,스타벅스경남사천DT점,경남 사천시 사천대로 1844-0,카페/찻집
74,뜬,경남 함안군 부남1길 24-15,카페/찻집
75,토도스,경남 창원시 성산구 용호로 116-0,외국식
76,진주냉면산홍금산본점,경남 진주시 금산로 62-0,한식
77,마소마레,경남 거제시 거제대로 1828-5,카페/찻집
78,스타벅스김해진영DT점,경남 김해시 여래로20번길 34-26,카페/찻집
79,스타벅스진주혁신도시점,경남 진주시 에나로127번길 30-0,카페/찻집
80,명륜진사갈비김해 내외점,경남 김해시 전하로 252-8,한식
81,더로드101,경남 하동군 화개로 357-0,카페/찻집
82,라온하제,경남 창원시 성산구 삼귀로 361-0,외국식
83,개성순대,경남 창원시 마산합포구 가포로 686-0,한식
84,맥도날드창원역DT점,경남 창원시 의창구 의창대로 50-0,간이음식
85,방콕산장,경남 창원시 진해구 진해대로660번길 9-0,외국식
86,김덕규베이커리내동점,경남 김해시 구지로 20-0,간이음식
87,의령소바본점,경남 의령군 의병로18길 3-5,한식
88,송기원진주냉면본점,경남 진주시 모덕로47번길 1-2,한식
89,천황식당[한식],경남 진주시 촉석로207번길 3-0,한식
90,팥고방,경남 김해시 대청계곡길 44-13,카페/찻집
91,방목리카페,경남 산청군 석대로281번길 229-30,카페/찻집
92,맥도날드양산북정DT점,경남 양산시 양산대로 925-0,간이음식
93,포구나무집,경남 양산시 호포로 67-0,한식
94,스타벅스장유대청점,경남 김해시 계동로 213-0,카페/찻집
95,언엔드,경남 김해시 대청계곡길 47-0,카페/찻집
96,맥도날드진주혁신GS DT점,경남 진주시 동진로 581-0,간이음식
97,토곡요,경남 양산시 충렬로 1553-0,간이음식
98,오오유카페마산본점,경남 창원시 마산합포구 구산로 434-0,카페/찻집
99,마당국수귀산직영점,경남 창원시 성산구 삼귀로 181-0,한식
100,물철철평상,경남 밀양시,한식
