순위,업소명,주소,분류
1,황리단길,경북 경주시,음식점기타
2,황남빵,경북 경주시 태종로 783-0,간이음식
3,환여횟집,경북 포항시 북구 해안로 189-1,전문음식
4,교리김밥경주본점,경북 경주시 탑리3길 2-0,간이음식
5,맷돌순두부,경북 경주시 북군길 7-0,한식
6,함양집경주보문점,경북 경주시 북군1길 10-1,한식
7,오딘,경북 포항시 북구 동해대로 3320-0,카페/찻집
8,러블랑,경북 포항시 북구 동해대로 3310-0,카페/찻집
9,벤자마스,경북 경주시 윗동천길 2-0,전문음식
10,조돌칼국수,경북 경주시 북군길 3-6,한식
11,맛있는추어탕,경북 포항시 북구 흥해로82번길 31-11,한식
12,스타벅스경주보문호수DT점,경북 경주시 보문로 132-6,카페/찻집
13,마라도회식당,경북 포항시 북구 해안로 217-1,전문음식
14,버던트,경북 청도군 연지로 330-0,카페/찻집
15,용궁단골식당본점,경북 예천군 용궁시장길 30-0,한식
16,러키더키,경북 칠곡군 석적로 140-0,카페/찻집
17,성화축산식육식당,경북 경산시 삼성현로 915-0,한식
18,아덴보문점,경북 경주시 한국관광1번로 34-0,카페/찻집
19,LLOW,경북 경주시 경감로 375-16,카페/찻집
20,어마무시,경북 경주시 양정로 41-12,카페/찻집
21,영양숯불갈비경주점,경북 경주시 봉황로 79-0,한식
22,향화정,경북 경주시 사정로57번길 17-0,한식
23,바실라,경북 경주시 하동못안길 88-0,카페/찻집
24,스타벅스경주터미널DT점,경북 경주시 태종로 686-0,카페/찻집
25,명실상감한우상주축협직영점,경북 상주시 영남제일로 1119-9,한식
26,맥도날드포항남부DT점,경북 포항시 남구 새천년대로 470-0,간이음식
27,맘모스베이커리남부본점,경북 안동시 문화광장길 34-0,간이음식
28,보문뜰,경북 경주시 경감로 142-3,한식
29,헤이안,경북 포항시 북구 해안로 219-0,카페/찻집
30,스타벅스경주보문로DT점,경북 경주시 보문로 510-6,카페/찻집
31,스타벅스상주무양DT점,경북 상주시 영남제일로 1683-0,카페/찻집
32,쿠우쿠우김천혁신점,경북 김천시 혁신3로 40-0,전문음식
33,스타벅스경주대릉원점,경북 경주시 첨성로 125-0,카페/찻집
34,함양집보불로점,경북 경주시 보불로 287-0,한식
35,룰리커피&룰리바베큐경산점,경북 경산시 삼성현마을길 24-0,카페/찻집
36,일직식당,경북 안동시 경동로 676-0,한식
37,스타벅스안동강변DT점,경북 안동시 육사로 327-0,카페/찻집
38,청도가마솥국밥휴업중,경북 청도군 청화로 235-0,한식
39,스페이스카페,경북 포항시 북구 해안로 273-0,카페/찻집
40,맥도날드경주보문DT점,경북 경주시 보문로 445-0,간이음식
41,교리김밥보문점,경북 경주시 한국관광1번로 11-0,간이음식
42,시호재&시차,경북 칠곡군 망정1길 11-21,카페/찻집
43,수가성,경북 포항시 북구 상대로 31-0,한식
