순위,업소명,주소,분류
1,퍼니스카페앤라운지,광주 서구 천변좌하로 192-0,카페/찻집
2,맥문동,광주 서구 마륵로 24-0,전문음식
3,명화식육식당,광주 광산구 평동로 421-0,한식
4,스타벅스광주신창강변DT점,광주 광산구 북문대로 321-0,카페/찻집
5,쿠우쿠우광주상무점,광주 서구 시청로50번길 3-0,전문음식
6,세컨드원가든광주수완점,광주 광산구 임방울대로 611-23,카페/찻집
7,황금코다리광주상무점,광주 서구 내방로 33-0,한식
8,쌍교숯불갈비송정점,광주 광산구 동곡로 462-0,한식
9,테이트모던,광주 서구 상무대로673번길 24-0,카페/찻집
10,맥도날드광주산정DT점,광주 광산구 용아로 251-0,간이음식
11,김서방국밥,광주 서구 화정로260번길 11-2,한식
12,스타벅스광주선운DT점,광주 광산구 선운로20번길 63-0,카페/찻집
13,영미오리탕,광주 북구 경양로 126-0,한식
14,맥도날드광주월산DT점,광주 남구 대남대로 393-0,간이음식
15,상무초밥상무점,광주 서구 운천로 253-0,외국식
16,진식당본점,광주 북구 중흥로 105-0,한식
17,쌍교숯불갈비남구노대점,광주 남구 효덕로 128-0,한식
18,맥도날드전남대DT점,광주 북구 우치로 134-0,간이음식
19,매월농원,광주 서구 전평길 66-0,전문음식
20,황솔촌수완점,광주 광산구 장신로19번안길 23-0,한식
21,옥과한우촌상무점,광주 서구 내방로 39-1,한식
22,창억떡집중흥본점,광주 북구 경열로 242-0,간이음식
23,스타벅스광주효천DT점,광주 남구 임암길 232-0,카페/찻집
24,산수쌈밥,광주 동구 동계로 11-0,한식
25,쿠우쿠우광주하남점,광주 광산구 무진대로 272-8,전문음식
26,나정상회,광주 서구 상무자유로 24-0,한식
27,김강심칼국수,광주 서구 회재로 841-0,한식
28,궁전제과수완점,광주 광산구 사암로 426-0,간이음식
29,황솔촌상무점,광주 서구 운천로 143-0,한식
30,스타벅스광주비아DT점,광주 광산구 첨단과기로 81-0,카페/찻집
31,스타벅스광주상무DT점,광주 서구 상무대로 847-0,카페/찻집
32,무등산전망대,광주 동구 무등로 669-0,카페/찻집
33,스타벅스광주신안DT점,광주 북구 서암대로 93-0,카페/찻집
34,하해가,광주 서구 내방로 37-0,전문음식
35,첨단공원국밥본점,광주 광산구 첨단중앙로182번길 24-12,한식
36,맥도날드광주첨단DT점,광주 북구 임방울대로 1048-0,간이음식
37,수자타,광주 동구 동산길7번길 3-0,전문음식
