순위,업소명,주소,분류
1,쿠우쿠우대구서구점,대구 서구 와룡로 307-0,전문음식
2,K2정문식당,대구 동구 아양로 341-0,한식
3,군위이로운한우,대구 군위군 간동유원지길 14-0,한식
4,고령촌돼지찌개앞산본점,대구 남구 앞산순환로 440-1,한식
5,바르미스시뷔페두산점,대구 수성구 무학로 78-0,외국식
6,리안,대구 수성구 교학로4길 48-0,외국식
7,대덕식당,대구 남구 앞산순환로 443-0,한식
8,조조칼국수본점,대구 수성구 국채보상로 912-0,한식
9,오퐁드부아,대구 달성군 주리2길 104-0,카페/찻집
10,쿠우쿠우수성못점,대구 수성구 용학로 92-4,전문음식
11,서민갈비,대구 수성구 들안로 8-5,한식
12,맥도날드대구침산DT점,대구 북구 침산로 120-0,간이음식
13,맥도날드대구수성DT점,대구 수성구 달구벌대로 2345-0,간이음식
14,느티골,대구 달성군 우록3길 68-0,한식
15,낙영찜갈비본점,대구 중구 동덕로36길 9-17,한식
16,푸른회식당,대구 서구 달구벌대로375길 14-1,전문음식
17,스틸301,대구 군위군 산성가음로 996-0,카페/찻집
18,아눅앞산,대구 남구 앞산순환로 459-0,카페/찻집
19,곤지곤지본점 [한식],대구 달성군 퇴계길 43-8,한식
20,곤지곤지팔공산점 [한식],대구 동구 서촌로 14-0,한식
21,파스쿠찌대구대명역점,대구 남구 대명로 73-0,카페/찻집
22,룰리커피가창점,대구 달성군 우록길 76-0,카페/찻집
23,신천궁전떡볶이,대구 수성구 국채보상로162길 72-0,간이음식
24,원조현풍박소선할매집곰탕본점,대구 달성군 현풍중앙로 56-1,한식
25,스테이블모먼트월배점,대구 달서구 조암남로32길 24-0,카페/찻집
26,묘운,대구 달성군 육신사길 34-0,카페/찻집
27,VIPS대구수성교점,대구 중구 달구벌대로 2232-0,전문음식
28,원조대가야성[중식],대구 서구 서대구로 178-0,외국식
29,커들포드,대구 동구 팔공로 1334-0,카페/찻집
30,스타벅스대구공평DT점,대구 중구 국채보상로 642-0,카페/찻집
31,윤옥연할매떡볶이본점,대구 수성구 들안로77길 11-0,간이음식
32,정미네,대구 달성군 헐티로2길 26-0,한식
33,큰나무집,대구 달성군 우록길 24-0,한식
34,곤지곤지침산점,대구 북구 침산남로37길 27-0,한식
35,룰리커피고모점,대구 수성구 고모로 188-0,카페/찻집
36,스타벅스대구팔공산점,대구 동구 파계로 650-0,카페/찻집
37,마고플레인아양점,대구 동구 해동로 107-0,간이음식
38,황장군본리점,대구 달서구 와룡로 110-0,한식
39,미성복어본점,대구 수성구 들안로 87-0,전문음식
40,핸즈커피 성당점,대구 달서구 구마로 207-2,카페/찻집
41,레이틀리92,대구 동구 초례로 6-0,카페/찻집
42,에녹커피,대구 동구 아양로 344-0,카페/찻집
43,농협축산물프라자하나로마트한우셀프식당,대구 북구 침산남로 88-0,한식
44,전원숯불칠곡태전점,대구 북구 칠곡중앙대로 269-0,한식
45,동이식당[한식],대구 달서구 한실로6길 165-7,한식
46,공심옥,대구 수성구 유니버시아드로 318-0,한식
47,동림식당,대구 동구 파계로116길 49-0,한식
48,스타벅스대구침산DT점,대구 북구 침산로 126-0,카페/찻집
49,유가제빵소,대구 달성군 테크노중앙대로1길 35-0,간이음식
50,고모역쭈꾸미,대구 수성구 고모로 188-0,전문음식
51,슬로우벗베럴,대구 동구 신평로 113-0,카페/찻집
52,아웃백스테이크하우스대구황금점,대구 수성구 동대구로 219-0,전문음식
53,스테이블모먼트복현점,대구 북구 복현로8길 19-36,카페/찻집
54,스타벅스대구감삼DT점,대구 달서구 와룡로 131-0,카페/찻집
55,폴바셋대구수성못점,대구 수성구 수성못길 28-0,카페/찻집
56,찬앤찬막창,대구 북구 침산남로 8-0,전문음식
56,브리니팔공,대구 동구 팔공로206길 4-0,카페/찻집
58,스타벅스대구칠성DT점,대구 북구 중앙대로 524-0,카페/찻집
59,벨베꼼메,대구 달성군 세천북로 66-0,카페/찻집
60,맥도날드대구시지DT점,대구 수성구 달구벌대로 3199-0,간이음식
61,갈비만대구본점,대구 달서구 조암로 58-0,한식
62,폴바셋만촌DT점,대구 수성구 무열로 178-0,카페/찻집
63,스타벅스대구앞산DT점,대구 남구 현충로 32-0,카페/찻집
64,카페담,대구 달성군 유가사2길 15-0,카페/찻집
65,제니스뷔페달서점,대구 달서구 와룡로 143-0,전문음식
66,스타벅스대구동촌유원지점,대구 동구 효동로2길 45-0,카페/찻집
67,베르겐에스프레소바,대구 동구 파계로138길 64-0,카페/찻집
68,가마솥에누른밥,대구 동구 서촌로23길 13-11,전문음식
69,스타벅스대구수성네거리DT점,대구 수성구 들안로 342-0,카페/찻집
70,스타벅스대구평리DT점,대구 서구 서대구로 89-0,카페/찻집
71,스타벅스대구복현DT점,대구 북구 대학로 150-0,카페/찻집
72,맥도날드대구동호DT점,대구 동구 안심로 403-0,간이음식
73,여원찜갈비,대구 북구 복현로 182-27,한식
74,수봉반점[중식],대구 북구 대현남로2길 60-0,외국식
75,헤이마,대구 동구 파계로 583-0,카페/찻집
76,맥도날드대구희망DT점,대구 수성구 수성로 238-0,간이음식
77,맥도날드대구상인DT점,대구 달서구 월곡로 338-0,간이음식
78,스타벅스수성레이크점,대구 수성구 수성못길 4-0,카페/찻집
79,파스쿠찌대구신평리네거리점,대구 서구 국채보상로 204-0,카페/찻집
80,명륜진사갈비대구신암점,대구 동구 신암로 115-0,한식
81,한라축산정육식당대구신월성점,대구 달서구 선돌로 12-0,한식
82,스타벅스대구현풍DT점,대구 달성군 비슬로 588-0,카페/찻집
82,앞산큰골집본점,대구 남구 큰골길 35-0,한식
84,금등어,대구 수성구 들안로 57-0,한식
85,맨션5수성,대구 수성구 청수로 73-0,카페/찻집
86,세연콩국본점,대구 중구 명덕로 173-0,한식
87,스타벅스대구각산역DT점,대구 동구 안심로 383-0,카페/찻집
88,황장군유통단지점,대구 북구 유통단지로8길 50-0,전문음식
89,앞산주택,대구 남구 현충로1길 16-0,외국식
90,맥도날드대구황금DT점,대구 수성구 청수로 157-0,간이음식
91,반고개무침회골목,대구 서구,음식점기타
92,제니스뷔페수성점,대구 수성구 달구벌대로 2435-0,전문음식
93,조조칼국수앞산본점,대구 남구 현충로15길 13-1,한식
94,명륜진사갈비대구만촌점,대구 수성구 화랑로 98-0,한식
95,신마산식당본점,대구 남구 현충로 214-0,한식
96,핸즈커피수성못점,대구 수성구 용학로 106-5,카페/찻집
97,맥도날드대구교대DT점,대구 남구 중앙대로 225-0,간이음식
98,롤링핀대구수목원점,대구 달서구 한실로6길 158-0,간이음식
99,삼송1957,대구 수성구 수성못2길 26-0,간이음식
100,명륜진사갈비대구안지랑점,대구 남구 대명로 146-0,한식
