순위,업소명,주소,분류
1,성심당DCC점,대전 유성구 엑스포로 107-0,간이음식
2,성심당본점,대전 중구 대종로480번길 15-0,간이음식
3,태평소국밥본관,대전 유성구 온천동로65번길 50-0,한식
4,성심당롯데백화점대전점,대전 서구 계룡로 598-0,간이음식
5,오문창순대국밥,대전 대덕구 한밭대로 1153-0,한식
6,베스타프리미엄뷔페,대전 서구 만년로 70-0,전문음식
7,에이트,대전 유성구 한밭대로 458-0,카페/찻집
8,오씨칼국수,대전 동구 옛신탄진로 13-0,한식
9,원조태평소국밥태평본점,대전 중구 태평로 116-0,한식
10,태화장[중식],대전 동구 중앙로203번길 78-0,외국식
11,맥도날드대전유성DT점,대전 유성구 계룡로87번길 3-0,간이음식
12,수통골감나무집본점,대전 유성구 수통골로 69-0,전문음식
13,하루엔소쿠대전역점,대전 동구 중앙로 215-0,전문음식
14,월산본가대흥본점,대전 중구 대종로 455-0,한식
15,카페팡시온,대전 동구 회남로275번길 227-0,카페/찻집
16,맥도날드대전가장DT점,대전 서구 도산로 324-0,간이음식
17,맥도날드대전카이스트DT점,대전 유성구 대덕대로 535-0,간이음식
18,스타벅스대전도안DT점,대전 유성구 도안대로 573-0,카페/찻집
19,오씨칼국수도룡점,대전 유성구 엑스포로151번길 19-0,한식
20,온천손칼국수쭈꾸미,대전 유성구 온천북로 61-0,한식
21,성심당케익부띠끄본점,대전 중구 대종로 480-0,간이음식
22,광천식당,대전 중구 대종로505번길 29-0,전문음식
23,롤라Lolla,대전 동구 회남로275번길 123-0,카페/찻집
24,숯골원냉면본점,대전 유성구 신성로84번길 18-0,한식
25,맥도날드대전신탄진DT점,대전 대덕구 신탄진로 605-0,간이음식
26,맥도날드대전부사DT점,대전 중구 충무로 139-0,간이음식
27,반찬식당,대전 중구 보문산공원로 484-0,한식
28,꾸드뱅,대전 유성구 지족동로 146-0,간이음식
29,농민순대,대전 중구 충무로 138-0,한식
30,신촌설렁탕만년점,대전 서구 대덕대로 390-0,한식
31,시민칼국수,대전 중구 대흥로10번길 5-0,한식
32,일당감자탕유성1호점,대전 유성구 계룡로59번길 36-0,한식
33,대선칼국수본점,대전 서구 둔산중로40번길 28-0,한식
34,더리스.테라베오,대전 동구 냉천로 30-0,전문음식
35,천리집,대전 유성구 신성남로 127-0,한식
36,권인순갈비김치찌개,대전 유성구 노은서로76번길 75-5,한식
37,맥도날드대전한남대DT점,대전 대덕구 한밭대로 1102-0,간이음식
38,할리스대전만년점,대전 서구 둔산대로117번길 95-0,카페/찻집
39,파스쿠찌대전봉명점,대전 유성구 온천북로 15-0,카페/찻집
40,복사꽃피는집대전점,대전 유성구 원계산로 238-34,한식
41,스타벅스대전갈마DT점,대전 서구 계룡로 384-0,카페/찻집
42,스타벅스대전구암DT점,대전 유성구 월드컵대로289번길 6-0,카페/찻집
43,시골막국수,대전 서구 구봉산북로7번길 32-14,한식
44,스타벅스대전관저점,대전 서구 관저로 142-0,카페/찻집
45,스타벅스대전용운점,대전 동구 동부로 178-0,카페/찻집
46,상무초밥유성점,대전 유성구 대학로 44-0,외국식
47,명륜진사갈비대전원신흥목원대점,대전 유성구 동서대로 689-0,한식
48,유생촌대전유성점,대전 유성구 엑스포로 240-0,전문음식
49,어담,대전 서구 도안남로 114-0,전문음식
50,맥도날드대전가수원DT점,대전 서구 계백로 1124-0,간이음식
51,더함뜰,대전 유성구 동서대로 181-0,한식
52,보물섬회수산,대전 유성구 계룡로 15-3,전문음식
53,솔밭묵집,대전 유성구 관용로 51-0,한식
54,선화동소머리해장국본점,대전 중구 선화로 128-0,한식
55,중부회수산시장,대전 대덕구 계족로 544-0,전문음식
56,성심당대전역점,대전 동구 중앙로 215-0,간이음식
57,쌍촌본가,대전 유성구 엑스포로 244-5,한식
58,두두당,대전 대덕구 대청로 234-0,카페/찻집
59,스타벅스대전한남대DT점,대전 대덕구 한밭대로 1122-0,카페/찻집
60,VIPS둔산점,대전 서구 대덕대로 243-0,전문음식
61,비씨씨킹덤,대전 서구 문정로 40-0,전문음식
62,창억떡집대전본점,대전 유성구 유성대로 775-0,간이음식
63,스타벅스대전용문DT점,대전 서구 도산로 336-0,카페/찻집
64,연선흠베이커리,대전 유성구 지족로148번길 39-23,간이음식
65,서원골유황오리,대전 유성구 엑스포로269번길 8-0,전문음식
66,현암기사식당,대전 동구 대전천북로 72-0,한식
67,스타벅스대전가수원DT점,대전 서구 계백로 1128-0,카페/찻집
68,오브떼르,대전 유성구 월드컵대로351번길 5-0,카페/찻집
69,스타벅스신탄진금강DT점,대전 대덕구 신탄진로 866-0,카페/찻집
70,스타벅스대전대사DT점,대전 중구 계룡로 949-0,카페/찻집
71,일오삼수제돈까스,대전 동구 석천로 39-18,전문음식
72,커피인터뷰,대전 유성구 한밭대로371번길 25-3,카페/찻집
73,맛찬들 왕소금구이봉명점,대전 유성구 대학로 60-0,한식
74,영동뜨끈이,대전 중구 대전천서로 375-1,한식
75,스타벅스대전IC DT점,대전 대덕구 동서대로 1776-0,카페/찻집
76,상무초밥둔산직영점,대전 서구 둔산로31번길 66-0,외국식
77,스타벅스대전신탄진DT점,대전 대덕구 대덕대로 1544-0,카페/찻집
78,스타벅스대전목동DT점,대전 중구 동서대로 1387-0,카페/찻집
79,띠울석갈비테크노점,대전 유성구 테크노5로 72-0,한식
80,스타벅스대전관평동점,대전 유성구 테크노중앙로 68-0,카페/찻집
81,산내돌짜장면[중식],대전 동구 산내로 457-0,외국식
82,스타벅스대전판암DT점,대전 동구 옥천로 118-0,카페/찻집
83,착한낙지홍도점,대전 동구 동서대로 1609-2,전문음식
84,스타벅스대전유천DT점,대전 중구 계백로 1604-0,카페/찻집
85,원조태평소국밥유성점,대전 유성구 문화원로 140-0,한식
86,남해수산,대전 유성구 온천서로 61-0,전문음식
87,플레이스플로라,대전 동구 회남로 57-52,외국식
88,바다수산,대전 서구 계룡로 338-0,전문음식
89,태평소국밥둔산점,대전 서구 둔산로31번길 52-0,한식
90,바르미샤브샤브앤칼국수유성봉명점,대전 유성구 대학로 39-10,한식
91,샤브쌈주머니대동점,대전 동구 동대전로46번길 11-0,전문음식
92,사리원면옥본점,대전 중구 중교로 62-0,한식
93,글리하우스,대전 유성구 유성대로 617-14,카페/찻집
94,둥지톳밥,대전 유성구 현충원로347번길 37-10,한식
95,매봉식당계족산점,대전 대덕구 계족로664번길 113-0,한식
96,쿠우쿠우대전유성점,대전 유성구 온천로 34-0,전문음식
97,장수오리,대전 서구 구억뜸길 39-0,전문음식
98,대청장어가대전점,대전 유성구 금남구즉로 1421-0,전문음식
99,이해윤추어명가대전본점,대전 유성구 현충원로347번길 45-6,한식
100,현솔자연쌈,대전 유성구 현충원로295번길 87-0,한식
