순위,업소명,주소,분류
1,칠암사계,부산 기장군 칠암1길 7-10,카페/찻집
2,합천일류돼지국밥본점,부산 사상구 광장로 34-0,한식
3,웨이브온커피,부산 기장군 해맞이로 286-0,카페/찻집
4,피아크카페앤베이커리,부산 영도구 해양로195번길 180-0,카페/찻집
5,수변최고돼지국밥민락본점,부산 수영구 광안해변로370번길 9-32,한식
6,스타벅스부산기장임랑원점,부산 기장군 임랑해안길 10-0,카페/찻집
7,스타벅스명지강변DT점,부산 강서구 르노삼성대로 620-0,카페/찻집
8,이재모피자,부산 중구 광복중앙로 31-0,간이음식
9,금수복국해운대본점,부산 해운대구 중동1로43번길 23-0,전문음식
10,냉수탕가든,부산 부산진구 가야공원로 107-0,전문음식
11,마리나블루키친,부산 해운대구 해운대해변로 154-0,전문음식
12,식당3선센텀1관,부산 해운대구 해운대로 230-0,한식
13,풍원장시골밥상집[한식],부산 기장군 기장해안로 250-0,한식
14,이재모피자서면점,부산 부산진구 전포대로209번길 21-0,간이음식
15,모모스커피영도로스터리&커피바,부산 영도구 봉래나루로 160-0,카페/찻집
16,토북베이커리강서점,부산 강서구 낙동남로 526-1,간이음식
17,대게만찬,부산 기장군 기장해안로 266-0,전문음식
18,국제식품초원농원양정점,부산 부산진구 거제대로 70-0,한식
19,맥도날드부산명지DT점,부산 강서구 명지국제8로 272-0,간이음식
20,영진돼지국밥본점,부산 사하구 하신번영로157번길 39-0,한식
21,메이크씨,부산 기장군 일광로 754-0,카페/찻집
22,코랄라니,부산 기장군 기장해안로 32-0,카페/찻집
23,최뼈다구해장국2호점,부산 사상구 광장로 22-0,한식
24,기장끝집본점,부산 기장군 기장해안로 895-0,간이음식
25,박해윤통영해물밥상광안점,부산 수영구 민락수변로239번길 14-0,전문음식
26,헤이든,부산 기장군 문오성길 22-0,카페/찻집
27,비아조,부산 강서구 식만로 164-0,카페/찻집
28,더파티센텀점,부산 해운대구 센텀중앙로 79-0,전문음식
29,보몽드,부산 기장군 구기길 19-7,카페/찻집
30,할매재첩국,부산 사상구 낙동대로1530번길 20-15,한식
31,제이엠커피로스터스부산본점,부산 기장군 대변3길 8-0,카페/찻집
32,국제밀면본점,부산 연제구 중앙대로1235번길 23-6,한식
33,해운대가야밀면,부산 해운대구 좌동순환로 27-0,한식
