순위,업소명,주소,분류
1,산장가든,세종시   도신고복로 1131-7,한식
2,부강옥,세종시   부강외천로 103-0,한식
3,스타벅스세종금강DT점,세종시   시청대로 45-0,카페/찻집
4,스타벅스세종다정DT점,세종시   다정북로 223-0,카페/찻집
5,테라로사세종점,세종시   가름로 143-0,카페/찻집
6,플레져,세종시   어울누리로 67-0,카페/찻집
7,장원갑칼국수세종본점,세종시   허만석1로 32-0,한식
8,백룡회관,세종시   채나무길 64-0,한식
9,충남순대국밥,세종시   용포로 97-11,한식
10,송도갈비세종점,세종시   다솜로 50-0,한식
11,메타45카페,세종시   나성북1로 51-0,카페/찻집
12,명륜진사갈비세종 고운점,세종시   만남로8길 24-5,한식
13,이도커피3호점,세종시   호탄길 55-11,카페/찻집
14,양평칼국수,세종시   침산로 4-0,한식
15,용댕이매운탕,세종시   태산로 163-6,한식
16,진성민속촌,세종시   청연로 125-0,한식
17,쿠우쿠우세종점,세종시   나성로 41-0,전문음식
18,고등어밥상,세종시   월현윗길 38-7,전문음식
19,팡쇼과자점,세종시   노을3로 25-0,간이음식
20,복누룽지삼계탕,세종시   산학리길 16-19,한식
21,도가네매운탕,세종시   도신고복로 585-0,한식
22,명품한우타운,세종시   금남구즉로 110-3,한식
23,뚱보아저씨수제돈가스세종점,세종시   소담1로 12-0,전문음식
24,초향각[중식],세종시   장척로 581-0,외국식
25,경성칼국수,세종시   대평시장2길 7-1,한식
26,육산,세종시   시청대로 209-0,한식
27,버거킹세종행복새롬점,세종시   어울로 77-0,간이음식
28,중부회수산시장,세종시   도움1로 106-0,전문음식
29,스타벅스세종소담점,세종시   소담3로 8-0,카페/찻집
30,쓰촨세종점 [중식],세종시   바른7길 45-0,외국식
31,시골영양탕,세종시   발산2길 22-1,한식
32,추어명가세종점,세종시   성덕영곡길 29-0,한식
33,마키노차야세종점,세종시   도움1로 7-0,전문음식
34,카페그리너리,세종시   월현윗길 119-39,카페/찻집
35,팔선생세종점 [중식],세종시   고운북8길 3-0,외국식
36,밥상차려주는집[한식],세종시   가름로 232-0,한식
37,스타벅스세종아름점,세종시   아름서1길 13-9,카페/찻집
38,안다미로라움,세종시   황토고개길 26-22,카페/찻집
