순위,업소명,주소,분류
1,언양기와집불고기,울산 울주군 헌양길 86-0,한식
2,그릿비서생점,울산 울주군 신암해안1길 4-0,카페/찻집
3,언양밀면,울산 울주군 북문4길 5-6,한식
4,장수촌24시돼지국밥굴화점,울산 울주군 울밀로 2820-0,한식
5,호피폴라,울산 울주군 나사해안길 6-0,카페/찻집
6,제주은희네해장국울산명촌점,울산 북구 명촌로 20-0,한식
7,일미돼지국밥,울산 북구 진장10길 14-2,한식
8,서강[중식],울산 중구 종가17길 4-0,외국식
9,나인힐,울산 울주군 등억천전로 106-0,카페/찻집
10,율리정[한식],울산 울주군 율리영해1길 170-6,한식
11,개들랜드,울산 울주군 홍골들길 41-0,카페/찻집
12,한가위,울산 북구 진장유통로 43-0,한식
13,라메르판지,울산 북구 판지1길 30-0,카페/찻집
14,농도,울산 울주군 명촌길천로 23-0,카페/찻집
15,솔밭가든,울산 중구 함월20길 65-0,한식
16,스타벅스울산KTX점,울산 울주군 도호1길 16-0,카페/찻집
17,나사리식당,울산 울주군 나사해안길 15-0,한식
18,황금코다리울산달동점,울산 남구 번영로 171-0,한식
19,뽕나무식당,울산 울주군 신리길 39-0,한식
20,스타벅스울산국가정원점,울산 중구 태화강국가정원길 205-0,카페/찻집
21,맥도날드울산삼산DT점,울산 남구 화합로 201-0,간이음식
22,맥도날드울산호계SK DT점,울산 북구 산업로 1448-0,간이음식
23,스타벅스울산성안점,울산 중구 성안1길 133-0,카페/찻집
24,더파티울산신선도원점,울산 북구 진장17길 10-0,전문음식
25,스타벅스울산간절곶DT점,울산 울주군 해맞이로 1216-0,카페/찻집
26,곤지곤지호계점 [한식],울산 북구 호수2로 26-0,한식
27,배나무집,울산 울주군 용연길 14-0,한식
28,두티골,울산 울주군 청량천변로 151-0,한식
29,뚱이한우국밥,울산 중구 번영로 595-0,한식
30,함경면옥,울산 남구 돋질로183번길 24-0,한식
31,맥도날드울산삼산로DT점,울산 남구 삼산로 230-0,간이음식
32,스타벅스울산일산비치DT점,울산 동구 일산진11길 95-0,카페/찻집
33,BCD커피,울산 중구 화진4길 91-2,카페/찻집
34,언양진미불고기,울산 울주군 중평로 33-0,한식
35,AOP,울산 울주군 해맞이로 1097-2,카페/찻집
36,스타벅스울산호계DT점,울산 북구 산업로 1464-0,카페/찻집
37,떡바우횟집,울산 울주군 신암해안길 13-0,전문음식
38,저수지휴게실,울산 울주군 상보두현길 53-0,한식
39,스타벅스울산정자비치DT점,울산 북구 동해안로 1601-0,카페/찻집
40,카페유녹,울산 울주군 송락골1길 28-0,카페/찻집
41,신불산에봄,울산 울주군 자수정로 129-0,카페/찻집
42,등억꽃향,울산 울주군 등억알프스로 224-0,카페/찻집
43,울산언양불고기,울산 남구 월평로 205-0,한식
44,24시부산돼지국밥,울산 남구 돋질로 436-0,한식
45,파스쿠찌울산수암로점,울산 남구 신남로 103-0,카페/찻집
46,아웃백스테이크하우스삼산점,울산 남구 삼산로 231-0,전문음식
47,하동식당,울산 동구 동해안로 30-7,한식
48,스타벅스울산태화강역DT점,울산 남구 삼산로 379-0,카페/찻집
49,명촌한식뷔페,울산 북구 명촌23길 41-0,한식
50,맥도날드울산굴화DT점,울산 울주군 울밀로 2877-0,간이음식
51,태화강민물장어,울산 남구 수암로53번길 3-0,전문음식
52,곽암아트카페갤러리,울산 북구 판지1길 62-0,카페/찻집
53,봉계한우숯불단지,울산 울주군,음식점기타
54,정자회센터에이14호,울산 북구 정자1길 48-0,전문음식
55,대바우가든,울산 울주군 소호로 517-0,한식
56,새벽바다,울산 북구 호계매곡4로 7-0,전문음식
57,해월당울산본점,울산 울주군 봉화로 258-40,카페/찻집
58,몽구도원,울산 울주군 삼동로 1237-16,카페/찻집
59,스타벅스울산도산사거리DT점,울산 남구 번영로 59-0,카페/찻집
60,만파식적삼산점,울산 남구 남중로 91-0,한식
61,해운대대게횟집,울산 남구 돋질로171번길 3-0,전문음식
62,맥도날드울산일산DT점,울산 동구 방어진순환도로 634-0,간이음식
63,파라안병영성,울산 중구 병영로 92-0,간이음식
64,명륜진사갈비울산언양점,울산 울주군 북문4길 1-0,한식
65,스타벅스울산북구청DT점,울산 북구 산업로 1011-0,카페/찻집
66,순례국밥,울산 동구 남진길 80-12,한식
67,시하온,울산 울주군 등억천전로 143-0,카페/찻집
68,시래담,울산 울주군 등억알프스로 50-0,한식
69,미진돌곱창,울산 남구 남산로26번길 10-0,전문음식
70,히든블루,울산 울주군 신리길 96-0,카페/찻집
71,버거킹울산동구오일뱅크점,울산 동구 방어진순환도로 1023-0,간이음식
72,진미불고기,울산 울주군 동문길 47-0,한식
73,오차드하우스,울산 울주군 장제길 5-46,전문음식
74,호두나무산장,울산 울주군 배내로 1270-0,한식
75,샤브20울산북구점,울산 북구 매산4로 5-0,전문음식
76,외식명가삼산정,울산 남구 화합로 154-0,한식
77,명품달인김밥,울산 울주군 온산로 667-0,간이음식
78,맥도날드울산옥동DT점,울산 남구 문수로423번길 2-0,간이음식
79,북경짜장[중식],울산 북구 명촌23길 31-0,외국식
80,다왕갈비탕본점,울산 울주군 덕망로 72-1,한식
81,이너리트,울산 울주군 수남벚꽃길 9-0,카페/찻집
82,쿠우쿠우굴화하나로마트점,울산 울주군 장검길 10-0,전문음식
83,게이트42,울산 울주군 상보두현길 42-0,카페/찻집
84,낙지한마리수제비,울산 남구 돋질로306번길 9-1,한식
85,스타벅스울산신정DT점,울산 남구 문수로 435-0,카페/찻집
86,라멘집입니다울산성안점,울산 중구 성안1길 137-0,외국식
87,써니사이드업,울산 남구 문수로217번길 12-0,전문음식
88,범서회관식육식당,울산 울주군 망성4길 4-0,한식
89,투썸플레이스울산시청점,울산 남구 중앙로 163-0,카페/찻집
90,명촌순두부보쌈삼산점,울산 남구 달삼로 71-0,한식
91,헤이메르,울산 울주군 잿골길 72-0,카페/찻집
92,스타벅스울산약사DT점,울산 중구 북부순환도로 754-0,카페/찻집
93,초가집,울산 울주군 서사로 259-9,한식
94,스타벅스울산주전비치점,울산 동구 동해안로 667-0,카페/찻집
95,아비아채하사정1920,울산 북구 동해안로 831-52,카페/찻집
96,파파앤썬by랑콩뜨레,울산 북구 박상진6로 7-0,카페/찻집
97,보리꽃,울산 동구 해수욕장10길 74-0,한식
98,스타벅스울산중리사거리DT점,울산 남구 돋질로 310-0,카페/찻집
99,스타벅스울산남구청DT점,울산 남구 번영로 215-0,카페/찻집
100,훈장,울산 북구 진장24길 42-0,한식
