순위,업소명,주소,분류
1,포레스트아웃팅스송도점,인천 연수구 청량로 145-0,카페/찻집
2,조양방직,인천 강화군 향나무길5번길 12-0,카페/찻집
3,메이드림,인천 중구 용유서로479번길 42-0,카페/찻집
4,차이나타운,인천 중구 차이나타운로44번길 13-2,음식점기타
5,공단떡볶이,인천 남동구 남동서로 226-0,간이음식
6,오목골즉석메밀우동,인천 미추홀구 석정로 142-0,외국식
7,맥도날드인천청라DT점,인천 서구 원창로 8-0,간이음식
8,맥도날드송도GS DT점,인천 연수구 하모니로 128-0,간이음식
9,해송쌈밥,인천 중구 공항서로 177-0,한식
10,선녀풍본점,인천 중구 선녀바위로 41-0,전문음식
11,카페미음,인천 중구 마시란로 119-0,카페/찻집
12,마시안제빵소,인천 중구 마시란로 155-0,간이음식
13,스타벅스인천청라DT점,인천 서구 국제대로 237-0,카페/찻집
14,동양염전베이커리카페,인천 중구 용유서로 32-0,카페/찻집
15,벌말매운탕본점,인천 계양구 벌말로565번길 5-0,한식
16,동해막국수,인천 중구 용유서로479번길 16-0,한식
17,뻘다방,인천 옹진군 선재로 55-0,카페/찻집
18,송도갈비본점,인천 연수구 능허대로 16-0,한식
19,롱비치커피앤브래드,인천 연수구 랜드마크로 194-0,카페/찻집
20,황해해물칼국수1호점,인천 중구 마시란로 24-0,한식
21,맥도날드연희DT점,인천 서구 서곶로 265-0,간이음식
22,황해해물칼국수2호점,인천 중구 마시란로 37-0,한식
23,동춘사골순대국동춘점,인천 연수구 동곡재로49번길 8-0,한식
24,우판등심인천점,인천 연수구 청량로 61-0,한식
25,바다쏭,인천 연수구 능허대로 16-0,카페/찻집
26,스타벅스인천송도DT점,인천 연수구 하모니로 136-0,카페/찻집
27,스타벅스송도컨벤시아대로DT점,인천 연수구 벤처로 10-0,카페/찻집
28,쎄쎄쎄,인천 연수구 컨벤시아대로 165-0,전문음식
29,이학갈비연수점,인천 연수구 먼우금로 208-0,한식
30,마시랑카페,인천 중구 마시란로 163-0,카페/찻집
31,청해김밥본점,인천 미추홀구 경인로 414-0,간이음식
32,송도토스트국수,인천 연수구 청량로 163-0,한식
33,금문도[중식],인천 강화군 중앙로 43-0,외국식
34,엠클리프,인천 중구 마시란로 51-30,카페/찻집
35,바베큐광장,인천 부평구 경원대로 1439-0,전문음식
36,을왕리꾸덕집,인천 중구 용유서로174번길 44-0,한식
37,송도갈매기본점,인천 연수구 능허대로151번길 25-0,한식
38,쿠우쿠우부평점,인천 부평구 부흥로 264-0,전문음식
39,플로레도커피선재점,인천 옹진군 선재로 354-0,카페/찻집
40,고목정쌈밥본점,인천 중구 용유서로172번길 10-0,한식
41,양자강[중식],인천 중구 용유서로 494-0,외국식
42,경복궁삼계탕송도점,인천 연수구 센트럴로 263-0,한식
43,쿠우쿠우인천구월점,인천 남동구 선수촌공원로 1-0,전문음식
44,맥도날드만수DT점,인천 남동구 백범로 229-0,간이음식
45,빌리앤오티스,인천 중구 백운로 333-0,간이음식
46,스타벅스인천용현DT점,인천 미추홀구 아암대로 107-0,카페/찻집
47,가좌동진천토종순대청라점,인천 서구 담지로104번길 17-1,한식
48,맥도날드인천삼산DT점,인천 부평구 장제로 380-0,간이음식
49,설농가,인천 남동구 인주대로 625-0,한식
50,수림공원가든,인천 남동구 주안로 269-0,한식
51,맛을담은강된장,인천 강화군 해안남로 1164-0,한식
52,경복궁한옥마을점,인천 연수구 테크노파크로 180-0,한식
53,이대조감자탕본점,인천 미추홀구 토금중로 6-0,한식
54,구수옥설렁탕,인천 서구 중봉대로586번길 9-23,한식
55,벌말기사부페본점,인천 계양구 벌말로573번길 3-1,전문음식
56,맥도날드신흥DT점,인천 중구 인항로 38-0,간이음식
57,맥도날드인천구산DT점,인천 부평구 경인로 1191-0,간이음식
58,가든파티계양점,인천 계양구 경명대로 977-0,한식
59,미애네칼국수본점,인천 중구 용유로21번길 51-0,한식
60,맥도날드인천계산DT점,인천 계양구 오조산로 39-0,간이음식
61,쿠우쿠우인천청라점,인천 서구 크리스탈로74번길 17-0,전문음식
62,산이내린밥상곤드레밥집서구점 [한식],인천 서구 서곶로 253-0,한식
63,빨간거짱구네본점,인천 중구 햇내로안길 18-7,전문음식
64,안스베이커리송도점,인천 연수구 센트럴로 160-0,간이음식
65,베이커리율교P3120송도점,인천 연수구 컨벤시아대로42번길 20-0,간이음식
66,드마리스청라점,인천 서구 청라커낼로260번길 15-0,전문음식
67,쿠우쿠우검단신도시점,인천 서구 발산로5번길 12-0,전문음식
68,스타벅스인천동춘DT점,인천 연수구 앵고개로 171-0,카페/찻집
69,토크라피,인천 강화군 해안남로1691번길 43-12,카페/찻집
70,맘모스회센터,인천 중구 연안부두로33번길 17-0,전문음식
71,애슐리퀸즈루원시티인천점,인천 서구 서곶로 45-0,전문음식
72,스타벅스간석중앙공원DT점,인천 남동구 경인로 563-0,카페/찻집
73,쌈밥이네,인천 강화군 해안남로 2674-0,한식
74,원조이화찹쌀순대,인천 중구 인중로26번길 25-0,한식
75,무지락설렁탕,인천 남동구 논현고잔로184번길 14-0,한식
76,송도주막,인천 연수구 청량로79번길 36-0,한식
77,진시황감자탕,인천 연수구 청능대로113번길 37-0,한식
77,브런치빈송도점,인천 연수구 해돋이로151번길 4-0,전문음식
79,애슐리퀸즈송도트리플스트리트점,인천 연수구 송도과학로16번길 33-1,전문음식
80,맥도날드인천구월DT점,인천 남동구 인주대로 514-0,간이음식
81,빌리,인천 남동구 장아산로 64-0,카페/찻집
82,이학갈비계산본점,인천 계양구 계산새로 1-0,한식
83,연경차이나타운본점 [중식],인천 중구 차이나타운로 41-0,외국식
84,두운리,인천 강화군 불은북로 36-8,카페/찻집
85,마호가니강화점,인천 강화군 해안남로1844번길 19-0,카페/찻집
86,장수가든,인천 남동구 수현로14번길 13-7,한식
87,카페오라,인천 중구 용유서로 380-0,카페/찻집
88,자연도소금빵&자연도차,인천 중구 을왕로13번길 3-0,카페/찻집
89,밥상편지[한식],인천 연수구 하모니로 124-0,한식
90,맥도날드문학DT점,인천 미추홀구 매소홀로 600-0,간이음식
91,260도송도유원지점,인천 연수구 청량로109번길 1-0,한식
92,서원안길,인천 서구 원당대로608번안길 14-0,카페/찻집
93,지금이곳,인천 중구 운남로82번길 40-0,카페/찻집
94,스타파이브카페,인천 중구 공항서로 133-1,카페/찻집
95,맥도날드연수GS DT점,인천 연수구 먼우금로 200-0,간이음식
96,명륜진사갈비인천학익점,인천 미추홀구 소성로 153-0,한식
97,강화손칼국수본점,인천 강화군 강화남로 678-0,한식
98,VIPS계산점,인천 계양구 장제로 807-0,전문음식
99,강화섬쌀밥집,인천 강화군 해안남로 17-0,한식
100,스타벅스인천도화DT점,인천 미추홀구 장고개로 28-0,카페/찻집
