순위,업소명,주소,분류
1,나주곰탕하얀집,전남 나주시 금성관길 6-1,한식
2,스타벅스더여수돌산DT점,전남 여수시 돌산로 3549-0,카페/찻집
3,여수낭만포차거리,전남 여수시 하멜로 102-0,음식점기타
4,쌍교숯불갈비담양본점,전남 담양군 송강정로 212-0,한식
5,모이핀,전남 여수시 무술목길 50-0,카페/찻집
6,여수명동게장,전남 여수시 봉산남4길 23-26,전문음식
7,꽃돌게장1번가,전남 여수시 봉산2로 36-0,전문음식
8,정다운식당,전남 여수시 마상포길 12-0,한식
9,SUKSAN,전남 목포시 고하대로 588-0,카페/찻집
10,뚝방국수,전남 담양군 천변5길 20-0,한식
11,코롬방제과점,전남 목포시 영산로75번길 7-0,간이음식
12,청정게장촌,전남 여수시 봉산남4길 23-32,전문음식
13,바다김밥,전남 여수시 통제영5길 10-4,간이음식
14,스타벅스나주혁신DT점,전남 나주시 빛가람로 838-0,카페/찻집
15,순이네밥상,전남 여수시 통제영5길 5-0,한식
15,백성식당[한식],전남 목포시 번화로 68-0,한식
17,담양국수거리,전남 담양군,음식점기타
18,나주곰탕노안집,전남 나주시 금성관길 1-3,한식
19,바다김밥돌산직영점,전남 여수시 강남해안로 155-0,간이음식
20,북항회센터,전남 목포시 북항로 190-0,전문음식
21,모이핀스카이,전남 여수시 무술목길 59-0,카페/찻집
22,베비에르담양점,전남 담양군 죽향대로 1300-0,간이음식
23,벽오동,전남 순천시 상사호길 73-0,한식
24,남도예담,전남 담양군 담장로 143-0,한식
25,창평국밥,전남 담양군 사동길 12-12,한식
26,카페라플라타,전남 구례군 산업로 270-0,카페/찻집
27,목월빵집,전남 구례군 서시천로 85-0,간이음식
28,승일식당,전남 담양군 중앙로 98-1,한식
29,복춘식당,전남 여수시 교동남1길 5-8,한식
30,대숲골농원,전남 순천시 학동길 54-0,한식
31,옥과한우촌,전남 곡성군 오산로 983-0,한식
32,씨엘비베이커리명륜동본점,전남 목포시 영산로75번길 14-0,간이음식
33,도래회관[한식],전남 나주시 세남로 1593-0,한식
34,삼대광양불고기집,전남 광양시 서천1길 52-0,한식
35,원조두꺼비게장,전남 여수시 봉산남3길 12-0,한식
36,남진이네게장갈치명가본점,전남 여수시 봉산1로 49-0,전문음식
37,키친205,전남 함평군 함평천우길 52-0,카페/찻집
38,담양애꽃[한식],전남 담양군 죽향대로 723-0,한식
39,남도마실,전남 담양군 병풍로 356-0,한식
40,상사이야기,전남 순천시 상사호길 267-0,간이음식
41,초원갈비,전남 화순군 만연로 63-0,한식
42,보자기농가맛집,전남 담양군 신룡길 73-0,한식
43,나진국밥,전남 여수시 화양로 1391-0,한식
44,프롬나드,전남 여수시 우두3길 98-0,카페/찻집
45,쿠우쿠우순천점,전남 순천시 향매로 59-0,전문음식
46,대반동201,전남 목포시 해양대학로 59-0,카페/찻집
47,산촌,전남 담양군 용흥사길 102-0,한식
48,유진정,전남 담양군 시암골로 17-0,전문음식
49,카페보리,전남 영광군 해안로 787-0,카페/찻집
50,하당먹거리,전남 목포시 신흥로 98-0,전문음식
51,한일관[한식],전남 여수시 봉산2로 32-0,한식
52,나눌터[한식],전남 순천시 팔마1길 4-0,한식
53,황소식당,전남 여수시 봉산남3길 2-0,전문음식
54,벽오동본점,전남 담양군 의병로 41-0,한식
55,여수당,전남 여수시 중앙로 72-0,간이음식
56,송치마을,전남 순천시 송치안길 88-0,전문음식
57,단청,전남 담양군 한수동로 524-0,한식
58,여수게장낭만별식,전남 여수시 진두해안길 72-0,전문음식
59,카페라피끄,전남 여수시 무술목길 142-1,카페/찻집
60,카페힐론,전남 여수시 안산1길 62-0,카페/찻집
61,스타벅스순천팔마DT점,전남 순천시 백강로 23-0,카페/찻집
62,법성포굴비골목,전남 영광군,음식점기타
63,품장,전남 나주시 건재로 524-11,전문음식
64,옥담,전남 담양군 연산길 89-11,카페/찻집
65,신호등회관,전남 진도군 남동1길 66-0,한식
66,설성식당[한식],전남 강진군 병영성로 92-0,한식
67,커피창고로,전남 목포시 평화로 51-0,카페/찻집
68,스타벅스목포북항DT점,전남 목포시 고하대로 694-0,카페/찻집
69,화랑식당,전남 함평군 시장길 96-0,한식
70,오프더커프,전남 담양군 추성1로 425-9,카페/찻집
71,독천식당,전남 목포시 호남로64번길 3-1,전문음식
72,하늘가득,전남 담양군 추성1로 465-0,전문음식
73,두암식당,전남 무안군 우명길 52-0,한식
74,브라운아워,전남 여수시 웅천남5로 30-0,카페/찻집
75,영산포홍어거리,전남 나주시,음식점기타
76,장터본점,전남 목포시 영산로40번길 23-0,전문음식
77,카페더하루,전남 담양군 담순로 33-0,카페/찻집
78,국동칼국수,전남 여수시 신월로 578-1,한식
79,포미아구찜하당점,전남 목포시 옥암로 168-6,한식
80,초동순두부,전남 장성군 초동길 1-0,전문음식
81,카페베네광양이순신대교점,전남 광양시 항만13로 30-0,카페/찻집
82,남녘들밥상,전남 순천시 하풍동길 21-0,한식
83,수북회관꿀꿀숯불갈비,전남 담양군 한수동로 586-0,한식
84,로타리식당,전남 여수시 서교3길 2-1,한식
85,에브라임커피,전남 여수시 두언길 106-27,카페/찻집
86,3917마중,전남 나주시 향교길 42-16,카페/찻집
87,고돈상회,전남 장성군 영천로 166-0,카페/찻집
88,싱싱게장마을,전남 여수시 문수6길 40-0,전문음식
89,해돌마루카페,전남 고흥군 거금일주로 1906-17,카페/찻집
90,부부식당,전남 구례군 구례2길 30-0,한식
91,스타벅스전남도청DT점,전남 무안군 남악3로 54-0,카페/찻집
92,강의리추어탕,전남 담양군 강의길 73-0,한식
93,도원경[한식],전남 순천시 순천만길 309-0,한식
94,맥도날드순천조례DT점,전남 순천시 순광로 75-0,간이음식
95,에배네도모밀공방,전남 화순군 서양로 97-0,한식
96,스타벅스전남화순DT점,전남 화순군 서양로 478-0,카페/찻집
97,여수회센터,전남 여수시 남산로 60-31,전문음식
98,여수딸기모찌본점,전남 여수시 중앙로 73-1,간이음식
99,삼거리농원,전남 담양군 면앙정로 155-0,한식
100,반야원플라타너스,전남 구례군 한국통신로 83-22,카페/찻집
