순위,업소명,주소,분류
1,이성당본점,전북 군산시 중앙로 177-0,간이음식
2,화심순두부본점,전북 완주군 전진로 1051-0,한식
3,현대옥전주본점,전북 전주시 완산구 화산천변2길 7-4,한식
4,한일옥,전북 군산시 구영3길 63-0,한식
5,지린성[중식],전북 군산시 미원로 87-0,외국식
6,슬지제빵소,전북 부안군 청자로 1076-0,카페/찻집
7,베테랑,전북 전주시 완산구 경기전길 135-0,한식
8,복성루[중식],전북 군산시 월명로 382-0,외국식
9,고산미소한우본점,전북 완주군 남봉로 135-0,한식
10,고궁전주본점 [한식],전북 전주시 덕진구 송천중앙로 33-0,한식
11,전주왱이콩나물국밥전문점,전북 전주시 완산구 동문길 88-0,한식
12,옥정호산장,전북 임실군 운정길 7-0,한식
13,삼천빌리지,전북 전주시 완산구 용와길 4-27,카페/찻집
14,빈해원[중식],전북 군산시 동령길 57-0,외국식
15,금단양만,전북 고창군 검당길 51-10,전문음식
16,조점례남문피순대,전북 전주시 완산구 풍남문2길 39-0,한식
17,명문제과,전북 남원시 용성로 56-0,간이음식
18,스타벅스전주만성DT점,전북 전주시 덕진구 정여립로 972-0,카페/찻집
19,스타벅스전주에코DT점,전북 전주시 덕진구 백석로 170-0,카페/찻집
20,추탄1438,전북 전주시 덕진구 추천로 48-10,카페/찻집
21,오늘여기,전북 김제시 상사길 50-0,카페/찻집
22,스타벅스전북남원DT점,전북 남원시 요천로 1477-0,카페/찻집
23,서남만찬,전북 남원시 역재1길 9-0,한식
24,정읍쌍화차거리,전북 정읍시 중앙1길 158-0,음식점기타
25,스타벅스전북정읍DT점,전북 정읍시 충정로 271-0,카페/찻집
26,대율담,전북 김제시 대화1길 95-0,카페/찻집
27,호남각[한식],전북 전주시 덕진구 시천로 65-0,한식
28,삼백집전주본점,전북 전주시 완산구 전주객사2길 22-0,한식
29,육일식당본점,전북 전주시 완산구 천잠로 17-0,한식
30,자매갈비전골,전북 전주시 완산구 기린대로 121-0,한식
31,스타벅스군산조촌DT점,전북 군산시 번영로 133-0,카페/찻집
32,쿠우쿠우전주송천점,전북 전주시 덕진구 사근1길 31-0,전문음식
33,PNB풍년제과본점,전북 전주시 완산구 팔달로 180-0,간이음식
34,한국관본점,전북 전주시 덕진구 기린대로 425-0,한식
35,베테랑신시가지점,전북 전주시 완산구 우전로 260-0,한식
36,지평선청보리한우촌,전북 김제시 모악로 17-0,한식
37,두거리우신탕본점,전북 전주시 덕진구 동부대로 1106-0,한식
38,두레식당,전북 남원시 서문1길 14-0,한식
39,총체보리한우정육식당,전북 김제시 옥석길 2-11,한식
40,아웃백스테이크하우스효자점,전북 전주시 완산구 우전로 260-0,전문음식
41,스타벅스익산동산DT점,전북 익산시 평동로 722-0,카페/찻집
42,무주카페날망,전북 무주군 칠연로 526-3,카페/찻집
43,디오니카페,전북 전주시 덕진구 원동로 16-0,카페/찻집
44,스타벅스전주인후DT점,전북 전주시 덕진구 아중로 135-0,카페/찻집
45,맥도날드군산나운DT점,전북 군산시 나운로 132-0,간이음식
46,옹고집쌈밥,전북 군산시 서왕길 34-0,한식
47,스타벅스전북김제DT점,전북 김제시 콩쥐팥쥐로 11-0,카페/찻집
48,스타벅스전주백제대로DT점,전북 전주시 완산구 백제대로 242-0,카페/찻집
49,천마루[중식],전북 무주군 원통사로 373-7,외국식
50,이중본[중식],전북 전주시 완산구 산월2길 9-3,외국식
51,소야,전북 완주군 모악산길 78-4,한식
