순위,업소명,주소,분류
1,우진해장국,제주 제주시 서사로 11-0,한식
2,런던베이글뮤지엄제주점,제주 제주시 동복로 85-0,간이음식
3,스타벅스더제주송당파크R점,제주 제주시 비자림로 1189-0,카페/찻집
4,연돈,제주 서귀포시 색달로 10-0,전문음식
5,자매국수본점,제주 제주시 항골남길 46-0,한식
6,오는정김밥,제주 서귀포시 동문동로 2-0,간이음식
7,원앤온리,제주 서귀포시 산방로 141-0,카페/찻집
8,애월카페거리,제주 제주시 애월북서길 56-1,음식점기타
9,해지개,제주 제주시 애월북서길 52-0,카페/찻집
10,스타벅스제주서해안로DT점,제주 제주시 서해안로 624-0,카페/찻집
11,숙성도중문점,제주 서귀포시 일주서로 966-0,한식
12,더클리프,제주 서귀포시 중문관광로 154-17,카페/찻집
13,블루보틀제주카페,제주 제주시 번영로 2133-30,카페/찻집
14,랜디스도넛제주직영점,제주 제주시 애월로 27-1,간이음식
15,목장카페밭디,제주 서귀포시 번영로 2486-0,카페/찻집
16,스타벅스제주애월DT점,제주 제주시 애월해안로 376-0,카페/찻집
17,고집돌우럭중문점,제주 서귀포시 일주서로 879-0,한식
18,아베베베이커리,제주 제주시 동문로6길 4-0,간이음식
19,델문도,제주 제주시 조함해안로 519-10,카페/찻집
20,카페루시아본점,제주 서귀포시 난드르로 49-17,카페/찻집
21,먹돌제주본점,제주 제주시 공항로1길 14-0,한식
22,중문수두리보말칼국수,제주 서귀포시 천제연로 192-0,한식
23,제주김만복본점,제주 제주시 오라로 41-0,간이음식
24,스타벅스제주중문DT점,제주 서귀포시 천제연로 95-0,카페/찻집
25,미영이네식당,제주 서귀포시 하모항구로 42-0,전문음식
26,늘봄흑돼지,제주 제주시 한라대학로 12-0,한식
27,올래국수본점,제주 제주시 귀아랑길 24-0,한식
28,미쁜제과,제주 서귀포시 도원남로 16-0,카페/찻집
29,제주당베이커리카페,제주 제주시 월각로 927-0,카페/찻집
30,도도리고기국수,제주 제주시 다호북길 109-0,한식
31,스타벅스제주용담DT점,제주 제주시 서해안로 380-0,카페/찻집
32,스타벅스제주성산DT점,제주 서귀포시 일출로 80-0,카페/찻집
33,숙성도본점,제주 제주시 제원길 30-0,한식
34,스타벅스제주중문점,제주 서귀포시 중문관광로110번길 32-0,카페/찻집
35,해녀촌,제주 제주시 동복로 33-0,전문음식
36,스타벅스제주공항DT점,제주 제주시 월성로 42-0,카페/찻집
37,제주광해애월점,제주 제주시 애월해안로 867-0,전문음식
38,곰막식당,제주 제주시 구좌해안로 64-0,한식
39,고집돌우럭제주공항점,제주 제주시 임항로 30-0,한식
40,번네식당,제주 서귀포시 산방로 16-0,한식
41,프?츠제주성산점,제주 서귀포시 일출로 222-0,카페/찻집
42,제주하멜,제주 제주시 노형2길 51-3,간이음식
43,스타벅스서귀포DT점,제주 서귀포시 일주서로 11-0,카페/찻집
44,마노르블랑,제주 서귀포시 일주서로2100번길 46-0,카페/찻집
