순위,업소명,주소,분류
1,뚜쥬루빵돌가마점,충남 천안시 동남구 풍세로 706-0,간이음식
2,병천순대거리,충남 천안시 동남구 아우내순대길 33-0,음식점기타
3,로드1950,충남 당진시 매산로 170-0,카페/찻집
4,천북굴단지,충남 보령시,음식점기타
5,이우철한방누룽지삼계탕천안본점,충남 천안시 동남구 유량로 164-0,한식
6,우렁이박사,충남 당진시 샛터로 7-1,한식
7,해어름,충남 당진시 매산해변길 144-0,전문음식
8,장원막국수,충남 부여군 나루터로62번길 20-0,한식
9,랜드마크195,충남 천안시 동남구 유량로 195-0,카페/찻집
10,박순자아우내순대,충남 천안시 동남구 아우내순대길 47-0,한식
11,목화반점[중식],충남 아산시 온주길26번길 7-3,외국식
12,솥뚜껑매운탕,충남 공주시 아래안영골길 4-0,한식
13,뚜쥬루성정점,충남 천안시 서북구 백석로 270-0,간이음식
14,바이더오,충남 보령시 원산도5길 89-23,카페/찻집
15,꽁당보리밥배방점,충남 아산시 북수동로 27-0,한식
16,복미락한식부페천안본점,충남 천안시 서북구 오성로 153-0,전문음식
17,충남집순대,충남 천안시 동남구 충절로 1748-0,전문음식
18,두정동먹자골목,충남 천안시 서북구 원두정2길 15-0,음식점기타
19,청화집,충남 천안시 동남구 충절로 1749-0,한식
20,이우철한방누룽지삼계탕백석직영점,충남 천안시 서북구 한들2로 46-5,한식
21,맥도날드천안원성DT점,충남 천안시 동남구 천안대로 699-0,간이음식
22,오양손칼국수,충남 보령시 옥마역길 77-0,한식
23,뚜쥬루거북이점,충남 천안시 서북구 봉서산로 69-22,간이음식
24,호수매운탕,충남 천안시 서북구 성성2길 61-0,한식
25,엄가네본가시골집,충남 천안시 서북구 봉정로 168-3,한식
26,어죽대부,충남 아산시 충무로 216-0,한식
27,반월소바,충남 논산시 해월로 132-0,간이음식
28,방가삼대 얼큰한 뼈해장국,충남 아산시 삼성로 520-9,한식
29,마들렌,충남 아산시 온천대로 2230-0,전문음식
30,맥도날드천안쌍용SK DT점,충남 천안시 서북구 충무로 166-0,간이음식
31,이고집만두,충남 천안시 동남구 태조산길 258-0,한식
32,맥도날드천안두정역DT점,충남 천안시 서북구 천안대로 1022-0,간이음식
33,몽상가인,충남 천안시 서북구 쌍용대로 85-0,간이음식
34,덕수식당,충남 태안군 중앙로 133-8,한식
35,카페피어라,충남 당진시 합덕대덕로 502-24,카페/찻집
36,딴뚝통나무집식당,충남 태안군 조운막터길 23-22,한식
37,달샤브샤브,충남 아산시 남부로8번길 27-21,전문음식
38,스타벅스천안불당DT점,충남 천안시 서북구 불당34길 4-0,카페/찻집
39,스타벅스대천해수욕장점,충남 보령시 머드로 114-0,카페/찻집
40,인주한옥점,충남 아산시 아산만로 1608-0,카페/찻집
41,반딧불식당,충남 천안시 동남구 위례성로 1160-0,한식
42,쿠우쿠우천안불당점,충남 천안시 서북구 검은들3길 46-0,전문음식
43,맥도날드천안두정DT점,충남 천안시 서북구 동서대로 49-0,간이음식
44,한일식당,충남 예산군 삽교역로 58-0,한식
45,동해원[중식],충남 공주시 납다리길 22-0,외국식
46,스타벅스공주DT점,충남 공주시 무령로 467-0,카페/찻집
47,맥도날드아산DT점,충남 아산시 충무로 37-0,간이음식
48,이숲,충남 천안시 서북구 남창마을1길 32-0,카페/찻집
49,핀스커피,충남 천안시 동남구 해솔1길 27-29,카페/찻집
50,엔학고레,충남 공주시 불장골길 113-12,카페/찻집
51,아레피,충남 아산시 영인로 187-15,카페/찻집
52,보령우유창고,충남 보령시 홍보로 573-0,카페/찻집
53,준테이블,충남 서산시 공림1길 26-0,전문음식
54,흥남순대,충남 아산시 순천향로 781-0,한식
55,스타벅스아산방축DT점,충남 아산시 온천대로 1392-0,카페/찻집
56,소복갈비,충남 예산군 천변로195번길 9-0,한식
57,할머니학화호도과자본점,충남 천안시 동남구 만남로 62-0,간이음식
58,맥도날드충남당진DT점,충남 당진시 서해로 5754-0,간이음식
59,곰골식당,충남 공주시 봉황산1길 1-2,한식
60,에어산,충남 공주시 임금봉길 88-27,카페/찻집
61,스타벅스천안업성레이크점,충남 천안시 서북구 업성수변로 69-0,카페/찻집
62,베이커리밤마을,충남 공주시 백미고을길 5-9,간이음식
63,죽순산장,충남 아산시 음봉면로 227-0,전문음식
64,청당정원,충남 천안시 동남구 청당2길 131-0,한식
65,새암물[한식],충남 태안군 송암로 639-15,한식
66,승지원,충남 천안시 서북구 노태산로 41-0,한식
67,카페벌곡,충남 논산시 수락로 877-0,카페/찻집
68,맥도날드서산DT점,충남 서산시 충의로 3-0,간이음식
69,스타벅스충남보령DT점,충남 보령시 대해로 101-0,카페/찻집
70,육화미본점,충남 천안시 서북구 불당26로 100-10,한식
71,이봉원의봉짬뽕[중식],충남 천안시 서북구 성정두정로 70-0,외국식
72,화룡[중식],충남 서산시 안견로 269-0,외국식
73,엘도라도,충남 아산시 배방로 267-0,카페/찻집
74,종가면옥,충남 아산시 배방로 219-28,한식
75,동학사초가집,충남 공주시 구모동길 57-0,한식
76,커피인터뷰파도리점,충남 태안군 파도길 61-9,카페/찻집
77,대흥식당,충남 예산군 노동길 14-0,한식
78,아마르라운지,충남 아산시 신정호길 33-50,카페/찻집
79,명륜진사갈비둔포테크노밸리점,충남 아산시 아산밸리중앙로 80-13,한식
80,피탕김탕,충남 공주시 한적2길 41-11,외국식
81,스타벅스천안성정DT점,충남 천안시 서북구 동서대로 154-0,카페/찻집
82,먹보쌈밥고깃간,충남 논산시 사계로 498-0,한식
83,삽교시장곱창거리,충남 예산군,음식점기타
84,몽산포제빵소,충남 태안군 우운길 56-19,카페/찻집
85,스타벅스논산내동DT점,충남 논산시 시민로 165-0,카페/찻집
86,공주쌍신집칼국수,충남 공주시 쌍신길 109-2,한식
87,선유원,충남 천안시 동남구 동평3길 30-0,한식
88,나문재카페,충남 태안군 통샘길 87-340,카페/찻집
89,더레이크스토리,충남 천안시 서북구 업성수변로 120-0,카페/찻집
90,강경해물칼국수,충남 논산시 계백로147번길 7-0,한식
91,스타벅스공주동학사DT점,충남 공주시 동학사1로 114-0,카페/찻집
92,스타벅스당진시곡DT점,충남 당진시 서해로 6281-0,카페/찻집
93,스타벅스서산호수점,충남 서산시 호수공원2로 33-0,카페/찻집
94,투썸플레이스천안업성LAKE점,충남 천안시 서북구 업성수변로 79-0,카페/찻집
95,카페다솔,충남 서산시 봉운로 951-125,카페/찻집
96,시골손두부,충남 천안시 동남구 충절로 1308-0,한식
97,스타벅스서산석남DT점,충남 서산시 남부순환로 994-0,카페/찻집
98,청룡가든,충남 천안시 동남구 봉항로 498-0,한식
99,트레블브레이크커피,충남 태안군 등마루1길 125-0,카페/찻집
100,할리우드카페,충남 천안시 동남구 유량로 185-0,카페/찻집
