순위,업소명,주소,분류
1,카페산,충북 단양군 두산길 196-86,카페/찻집
2,포이드캐롯,충북 청주시 흥덕구 가포산로 39-18,카페/찻집
3,드롭탑오송역언더패스점,충북 청주시 흥덕구,카페/찻집
4,게으른악어,충북 충주시 월악로 927-0,카페/찻집
5,트리브링,충북 청주시 서원구 청남로 1388-36,카페/찻집
6,우리베이커리,충북 청주시 서원구 대림로 413-0,간이음식
7,우설화청주점,충북 청주시 서원구 1순환로 886-0,한식
8,덩실분식,충북 제천시 독순로6길 5-0,간이음식
9,베이커리카페공간,충북 청주시 상당구 목련로 106-22,간이음식
10,대산보리밥,충북 청주시 서원구 성화로69번길 43-23,한식
11,봉용불고기,충북 청주시 청원구 중앙로 108-0,한식
12,맥도날드청주율량GS DT점,충북 청주시 청원구 공항로 156-0,간이음식
13,마중가는길[한식],충북 청주시 상당구 대청호반로 845-5,한식
14,맥도날드청주비하DT점,충북 청주시 흥덕구 2순환로 1076-0,간이음식
15,흙에서[한식],충북 청주시 서원구 산미로 116-0,한식
16,스타벅스충주호암DT점,충북 충주시 중원대로 3245-0,카페/찻집
17,고메스퀘어청주점,충북 청주시 청원구 율량로190번길 53-0,전문음식
18,맥도날드충주교현DT점,충북 충주시 국원대로 87-0,간이음식
19,청진궁중면옥,충북 충주시 충원대로 166-0,한식
20,다담뜰한식뷔페제천점,충북 제천시 숭문로5길 6-0,전문음식
21,?스퀘어,충북 진천군 진광로 928-27,카페/찻집
22,맥도날드청주분평DT점,충북 청주시 서원구 청남로 1991-0,간이음식
23,스타벅스청주율량DT점,충북 청주시 청원구 충청대로107번길 8-0,카페/찻집
24,더대청호카페,충북 청주시 상당구 대청호반로 786-25,카페/찻집
25,엘도라도,충북 청주시 흥덕구 오송생명5로 166-0,카페/찻집
26,청풍황금떡갈비,충북 제천시 청풍호로 1682-0,한식
27,트리제이더테라스청주산남점,충북 청주시 서원구 원흥로 17-0,전문음식
28,중앙탑메밀마당,충북 충주시 중앙탑길 103-0,한식
29,커피단월,충북 충주시 충원대로 55-0,카페/찻집
30,장원가마솥설렁탕,충북 음성군 대장로 69-0,한식
31,인문아카이브양림&카페후마니타스,충북 청주시 흥덕구 주봉로15번길 25-0,카페/찻집
32,스타벅스청주분평DT점,충북 청주시 서원구 1순환로 1154-0,카페/찻집
33,명륜진사갈비제천 강제점,충북 제천시 강저로 197-0,한식
34,외할머니집본점 [한식],충북 음성군 가곡로 230-0,한식
35,데어데어베이커리카페,충북 청주시 상당구 무심동로 72-0,카페/찻집
36,진천막국수,충북 진천군 진광로 725-0,한식
37,스톤폴스,충북 청주시 청원구 1순환로1896번길 19-33,카페/찻집
38,맥도날드청주봉명DT점,충북 청주시 흥덕구 1순환로 518-0,간이음식
39,김산기염소탕오창본점,충북 청주시 청원구 양청6길 9-0,한식
40,어머니밥상[한식],충북 음성군 대금로1851번길 3-6,한식
41,풍미당,충북 옥천군 중앙로 23-1,간이음식
42,스타벅스제천DT점,충북 제천시 의림대로 181-0,카페/찻집
43,스타벅스충북증평점,충북 증평군 광장로 40-0,카페/찻집
44,뜰이있는집,충북 제천시 하소천길 176-0,한식
45,강남면옥,충북 청주시 흥덕구 가로수로 1367-0,한식
46,복남이네꽁당보리밥,충북 청주시 흥덕구 가포산로 191-0,한식
47,스타벅스청주봉명DT점,충북 청주시 흥덕구 1순환로 514-0,카페/찻집
48,중앙탑막국수,충북 충주시 중앙탑길 109-0,한식
49,부부농장문의시내점,충북 청주시 상당구 대청호반로 834-1,한식
50,블루체어라운지카페,충북 청주시 서원구 2순환로 1618-0,카페/찻집
51,멀리커피,충북 청주시 청원구 외남로69번길 63-0,카페/찻집
52,스타벅스청주비하DT점,충북 청주시 흥덕구 2순환로 1078-0,카페/찻집
53,본궁석갈비,충북 청주시 흥덕구 가포산로 197-0,한식
54,애슐리퀸즈원더아리아청주점,충북 청주시 청원구 상당로 314-0,전문음식
55,스완레스토랑,충북 음성군 음성로 823-82,전문음식
56,두꺼비식당,충북 제천시 의림대로20길 21-0,한식
57,스타벅스제천하소DT점,충북 제천시 용두대로 55-0,카페/찻집
58,스타벅스충북혁신덕산점,충북 진천군 연미1길 11-0,카페/찻집
59,카우보이그릴,충북 제천시 학현소야로 415-24,전문음식
60,원조중앙탑막국수오창점,충북 청주시 청원구 용두1길 14-0,한식
61,가화한정식[한식],충북 청주시 청원구 내덕로 27-0,한식
62,원조중앙탑막국수,충북 청주시 서원구 대림로 391-0,한식
63,백송짜글짜글,충북 청주시 흥덕구 옥산시내1길 63-0,한식
64,소연재[한식],충북 청주시 서원구 청남로 1865-6,한식
65,청주본가본점,충북 청주시 흥덕구 사운로 233-0,한식
66,마늘석갈비막국수,충북 단양군 단양로 510-0,한식
67,손맛한식뷔페,충북 진천군 문진로 974-0,전문음식
68,스타벅스청주사직DT점,충북 청주시 서원구 사직대로 302-0,카페/찻집
69,스타벅스청주오송점,충북 청주시 흥덕구 오송생명로 222-0,카페/찻집
