순위,관광지명,주소,분류
1,스타필드하남,경기 하남시 미사대로 750-0,쇼핑몰
2,광명역,경기 광명시 광명역로 21-0,교통시설
3,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑몰
4,스타필드수원,경기 수원시 장안구 수성로 175-0,쇼핑몰
5,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑몰
6,에버랜드,경기 용인시 처인구 에버랜드로 199-0,테마공원
7,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,백화점
8,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑몰
9,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑몰
10,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑몰
11,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑몰
12,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑몰
13,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑몰
14,롯데프리미엄아울렛의왕점,경기 의왕시 바라산로 1-0,쇼핑몰
15,수원역,경기 수원시 팔달구 덕영대로 924-0,교통시설
16,SRT동탄역,경기 화성시 동탄역로 지하 151-0,교통시설
17,롯데백화점동탄점,경기 화성시 동탄역로 160-0,백화점
18,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑몰
19,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑몰
20,신세계백화점사우스시티점,경기 용인시 수지구 포은대로 536-0,백화점
21,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,전시시설
22,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,백화점
23,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,백화점
24,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,백화점
25,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑몰
26,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,시장
27,행신역,경기 고양시 덕양구 소원로 102-0,교통시설
28,오이도빨강등대,경기 시흥시 오이도로 170-0,랜드마크관광
29,현대백화점중동점,경기 부천시 원미구 길주로 180-0,백화점
30,스타필드시티부천,경기 부천시 소사구 옥길로 1-0,쇼핑몰
31,일산호수공원,경기 고양시 일산동구 호수로 595-0,도시공원
32,서울대공원,경기 과천시 대공원광장로 102-0,테마공원
33,타임빌라스수원,경기 수원시 권선구 세화로 134-0,백화점
34,타임빌라스수원,경기 수원시 권선구 세화로 134-0,쇼핑몰
35,신세계백화점의정부점,경기 의정부시 평화로 525-0,백화점
36,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,전시시설
37,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑몰
38,수원버스터미널,경기 수원시 권선구 경수대로 270-0,교통시설
39,롯데백화점평촌점,경기 안양시 동안구 시민대로 180-0,백화점
40,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사유적지
41,궁평항,경기 화성시 궁평항로 1049-24,자연경관(하천/해양)
42,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,도시공원
43,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,시장
44,화담숲,경기 광주시 도척윗로 278-1,테마공원
45,롯데백화점중동점,경기 부천시 원미구 길주로 300-0,백화점
46,AK플라자분당,경기 성남시 분당구 황새울로360번길 42-0,백화점
47,곤지암리조트,경기 광주시 도척윗로 278-0,콘도미니엄
48,수원컨벤션센터,경기 수원시 영통구 광교중앙로 140-0,전시시설
49,율동공원,경기 성남시 분당구 문정로 145-0,도시공원
50,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑몰
51,라페스타,경기 고양시 일산동구 무궁화로 20-11,쇼핑몰
52,캐리비안베이,경기 용인시 처인구 에버랜드로 199-0,테마공원
53,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광
54,렛츠런파크서울,경기 과천시 경마공원대로 107-0,육상레저스포츠
55,롯데백화점구리점,경기 구리시 경춘로 261-0,백화점
56,다산현대프리미어캠퍼스몰,경기 남양주시 다산순환로 20-0,쇼핑몰
57,서울랜드,경기 과천시 광명로 181-0,테마공원
58,벨라시타,경기 고양시 일산동구 강송로 33-0,쇼핑몰
59,수원농수산물도매시장,경기 수원시 권선구 세권로 243-0,시장
60,국립과천과학관,경기 과천시 상하벌로 110-0,전시시설
61,평내호평역,경기 남양주시 경춘로 1375-0,교통시설
62,롯데백화점일산점,경기 고양시 일산동구 중앙로 1283-0,백화점
63,동탄호수공원,경기 화성시 동탄순환대로 69-0,도시공원
64,부천터미널소풍,경기 부천시 원미구 송내대로 239-0,교통시설
65,롯데몰광교점,경기 수원시 영통구 도청로 10-0,쇼핑몰
66,이천종합버스터미널,경기 이천시 이섭대천로 1200-0,교통시설
67,양평역,경기 양평군 역전길 30-0,교통시설
68,방아머리해변,경기 안산시 단원구,자연경관(하천/해양)
69,LF스퀘어양주점,경기 양주시 평화로 1593-0,쇼핑몰
70,화성행궁,경기 수원시 팔달구 정조로 825-0,역사유적지
71,마장호수출렁다리,경기 파주시,기타관광
72,평화누리,경기 파주시 임진각로 148-40,도시공원
73,대명포구,경기 김포시,자연경관(하천/해양)
74,광명동굴,경기 광명시 가학로85번길 142-0,자연생태
75,퇴계원역,경기 남양주시 경춘북로 545-0,교통시설
76,레이크사이드CC,경기 용인시 처인구 능원로 181-0,육상레저스포츠
77,덕소역,경기 남양주시 덕소로 56-0,교통시설
78,리베라CC,경기 화성시 중리길 183-0,육상레저스포츠
79,두물머리,경기 양평군,기타관광
80,금촌역,경기 파주시 새꽃로 193-0,교통시설
81,백운호수,경기 의왕시 학현로 0-0,자연경관(하천/해양)
82,제부도,경기 화성시,자연경관(하천/해양)
83,뉴코아아울렛일산점,경기 고양시 일산동구 중앙로 1206-0,대형마트
84,마석역,경기 남양주시 마석중앙로 107-0,교통시설
85,대부도,경기 안산시 단원구 감나무길 0-0,자연경관(하천/해양)
86,농협경제지주안성팜랜드,경기 안성시 대신두길 28-0,테마공원
87,원마운트,경기 고양시 일산서구 한류월드로 300-0,쇼핑몰
88,남이섬선착장,경기 가평군 북한강변로 1024-0,교통시설
89,아침고요수목원,경기 가평군 수목원로 432-0,테마공원
90,아브뉴프랑판교,경기 성남시 분당구 동판교로177번길 25-0,쇼핑몰
91,안양예술공원,경기 안양시 만안구 예술공원로 131-0,도시공원
92,롯데백화점분당점,경기 성남시 분당구 황새울로200번길 45-0,백화점
93,오산오색시장,경기 오산시 오산로278번길 10-0,시장
94,비에이비스타CC,경기 이천시 어농로 272-0,육상레저스포츠
95,아브뉴프랑광교,경기 수원시 영통구 센트럴타운로 85-0,쇼핑몰
96,물왕호수,경기 시흥시,자연경관(하천/해양)
97,NC백화점야탑점,경기 성남시 분당구 야탑로81번길 11-0,백화점
98,용인공용버스터미널,경기 용인시 처인구 중부대로 1486-0,교통시설
99,골드CC,경기 용인시 기흥구 기흥단지로 398-0,육상레저스포츠
100,남한산성,경기 광주시 남한산성로 784-16,역사유적지
