순위,관광지명,주소,분류
1,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑몰
2,통도사,경남 양산시 통도사로 108-0,종교성지
3,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,시장
4,창원중앙역,경남 창원시 의창구 상남로 381-0,교통시설
5,롯데백화점창원점,경남 창원시 성산구 중앙대로 124-0,백화점
6,신세계백화점김해점,경남 김해시 김해대로 2232-0,백화점
7,마산역,경남 창원시 마산회원구 마산역광장로 18-0,교통시설
8,독일마을,경남 남해군 독일로 92-0,기타관광
9,소노캄거제,경남 거제시 거제대로 2660-0,콘도미니엄
10,바람의언덕,경남 거제시,기타문화관광지
11,한화리조트거제벨버디어,경남 거제시 거제북로 2501-40,콘도미니엄
12,마산시외버스터미널,경남 창원시 마산회원구 3·15대로 756-0,교통시설
13,매미성,경남 거제시 복항길 29-0,역사유적지
14,창원역,경남 창원시 의창구 의창대로 67-0,교통시설
15,진주역,경남 진주시 진주역로 130-0,교통시설
16,화개장터,경남 하동군 쌍계로 17-0,시장
17,창원종합버스터미널,경남 창원시 의창구 창원대로 371-0,교통시설
18,김해롯데워터파크본관,경남 김해시 장유로 555-0,테마공원
19,보리암,경남 남해군 보리암로 665-0,종교성지
20,밀양역,경남 밀양시 중앙로 62-0,교통시설
21,마산어시장,경남 창원시 마산합포구 복요리로 7-0,시장
22,삼천포용궁수산시장,경남 사천시 어시장길 64-0,시장
23,해인사,경남 합천군 해인사길 122-0,종교성지
24,롯데몰진주점,경남 진주시 동진로 440-0,쇼핑몰
25,사천공항,경남 사천시 사천대로 1971-0,교통시설
26,신세계백화점마산점,경남 창원시 마산합포구 합포로 251-0,백화점
27,마산로봇랜드,경남 창원시 마산합포구 로봇랜드로 250-0,테마공원
28,창원컨벤션센터,경남 창원시 성산구 원이대로 362-0,전시시설
29,삼성궁,경남 하동군 삼성궁길 86-15,기타관광
30,물금역,경남 양산시 황산로 347-0,교통시설
31,창원NC파크,경남 창원시 마산회원구 삼호로 63-0,레저스포츠시설
32,상남시장,경남 창원시 성산구 마디미로 28-0,시장
33,마금산원탕보양온천,경남 창원시 의창구 천주로 1167-0,웰니스관광
34,고현시외버스터미널,경남 거제시 고현천로 10-0,교통시설
35,금호리조트통영마리나,경남 통영시 큰발개1길 33-0,콘도미니엄
36,거제고현시장,경남 거제시 거제중앙로 1883-2,시장
37,황산공원,경남 양산시,도시공원
38,통영케이블카,경남 통영시 발개로 205-0,기타관광
39,가야CC,경남 김해시 인제로 502-0,육상레저스포츠
40,진주시외버스터미널,경남 진주시 남강로 712-0,교통시설
41,학동흑진주몽돌해변,경남 거제시 학동6길 18-1,자연경관(하천/해양)
42,표충사,경남 밀양시 표충로 1338-0,종교성지
43,쌍계사,경남 하동군 쌍계사길 59-0,종교성지
44,진영역,경남 김해시 김해대로 809-0,교통시설
45,사천바다케이블카대방정류장,경남 사천시 사천대로 18-0,기타관광
46,통영여객선터미널,경남 통영시 통영해안로 234-0,교통시설
47,그랜드머큐어앰버서더호텔,경남 창원시 성산구 원이대로 332-0,호텔
48,더시티7쇼핑몰,경남 창원시 성산구 원이대로 320-0,쇼핑몰
49,연지공원,경남 김해시 금관대로1368번길 7-0,도시공원
50,거제파노라마케이블카,경남 거제시 거제중앙로 288-0,기타레저스포츠
51,아라미르CC,경남 창원시 진해구 수제로 36-0,육상레저스포츠
52,대동백화점,경남 창원시 성산구 원이대로 730-0,백화점
53,용원골프클럽,경남 창원시 진해구 가주로 133-0,육상레저스포츠
54,상주은모래비치,경남 남해군 상주로 17-0,자연경관(하천/해양)
55,용원어시장,경남 창원시 진해구 용원동로 0-0,시장
56,포웰CC김해,경남 김해시 고모로134번길 54-49,육상레저스포츠
57,통영종합버스터미널,경남 통영시 죽림4로 24-0,교통시설
58,수선사,경남 산청군 웅석봉로154번길 102-23,종교성지
59,진해루,경남 창원시 진해구 진희로 150-0,역사유적지
60,거제정글돔,경남 거제시 거제남서로 3595-0,테마공원
61,삼천포항,경남 사천시 어시장길 34-10,자연경관(하천/해양)
62,통도파인이스트CC,경남 양산시 신평남부길 78-130,육상레저스포츠
63,렛츠런파크부산경남,부산 강서구 가락대로 929-0,육상레저스포츠
64,리더스CC,경남 밀양시 활성로 455-0,육상레저스포츠
65,합천영상테마파크,경남 합천군 합천호수로 757-0,테마공원
66,양산CC,경남 양산시 충렬로 687-0,육상레저스포츠
67,양산농수산물종합유통센터,경남 양산시 양산대로 377-0,시장
68,동의보감촌,경남 산청군 동의보감로555번길 45-6,기타관광
69,뉴코아아울렛창원점,경남 창원시 의창구 창원대로397번길 6-0,대형마트
70,에이원CC,경남 양산시 덕명로 190-0,육상레저스포츠
71,동부산CC,경남 양산시 매곡외산로 282-0,육상레저스포츠
72,상림공원,경남 함양군 필봉산길 49-0,도시공원
73,동훈힐마루CC,경남 창녕군 영산계성로 469-195,육상레저스포츠
74,장수암,경남 창원시 마산합포구 원전1길 141-0,종교성지
75,거창창포원,경남 거창군 창포원길 21-1,테마공원
76,이순신공원,경남 통영시 멘데해안길 205-0,도시공원
77,아난티남해,경남 남해군 남서대로1179번길 40-109,콘도미니엄
78,다이아몬드CC,경남 양산시 공원로 305-391,육상레저스포츠
79,정산CC,경남 김해시 서부로1637번길 299-194,육상레저스포츠
80,양산남부시장,경남 양산시 중앙로 133-0,시장
81,갤러리아백화점진주점,경남 진주시 진주대로 1095-0,백화점
82,위양지,경남 밀양시 위양로 273-36,자연경관(하천/해양)
83,동피랑벽화마을,경남 통영시 동피랑1길 6-18,기타관광
84,진해군항제,경남 창원시 진해구,기타문화관광지
85,진주중앙시장,경남 진주시 중앙시장길 21-0,시장
86,삼덕항,경남 통영시,자연경관(하천/해양)
87,롯데영플라자창원점,경남 창원시 성산구 상남로 121-0,백화점
88,가음정시장,경남 창원시 성산구 대정로35번길 4-1,시장
89,주남저수지,경남 창원시 의창구,자연경관(하천/해양)
90,김해가야테마파크,경남 김해시 가야테마길 161-0,테마공원
91,남산시외버스정류소,경남 창원시 성산구 창원대로 1024-0,교통시설
92,진해해양공원,경남 창원시 진해구 명동로 62-0,도시공원
93,인터내셔널호텔,경남 창원시 성산구 중앙대로 69-0,호텔
