순위,관광지명,주소,분류
1,불국사,경북 경주시 불국로 385-0,종교성지
2,김천구미역,경북 김천시 혁신1로 51-0,교통시설
3,죽도시장,경북 포항시 북구 죽도시장13길 13-1,시장
4,포항역,경북 포항시 북구 포항역로 1-0,교통시설
5,경주역,경북 경주시 경주역로 80-0,교통시설
6,동궁과월지,경북 경주시 원화로 102-0,역사유적지
7,구미역,경북 구미시 구미중앙로 76-0,교통시설
8,영일대해수욕장,경북 포항시 북구,자연경관(하천/해양)
9,첨성대,경북 경주시 첨성로 140-25,역사유적지
10,포항시외버스터미널,경북 포항시 남구 중흥로 85-0,교통시설
11,강구항,경북 영덕군,자연경관(하천/해양)
12,경주월드,경북 경주시 보문로 544-0,테마공원
13,국립경주박물관,경북 경주시 일정로 186-0,전시시설
14,보문관광단지,경북 경주시 한국관광1번로 33-0,복합관광시설
15,석굴암,경북 경주시 석굴로 238-0,역사유적지
16,대릉원,경북 경주시 계림로 9-0,역사유적지
17,환호공원스페이스워크,경북 포항시 북구,기타레저스포츠
18,라한셀렉트경주,경북 경주시 보문로 338-0,호텔
19,경주시외버스터미널,경북 경주시 강변로 184-0,교통시설
20,안동하회마을,경북 안동시 하회종가길 2-1,역사유적지
21,소노벨경주 공사중,경북 경주시 보문로 402-12,콘도미니엄
22,문무대왕릉,경북 경주시,역사유적지
23,문경새재,경북 문경시 새재로 932-0,역사유적지
24,후포항,경북 울진군 울진대게로 236-14,자연경관(하천/해양)
25,월영교,경북 안동시,기타관광
26,영주역,경북 영주시 선비로 64-0,교통시설
27,왜관역,경북 칠곡군 중앙로8길 10-0,교통시설
28,경주힐튼호텔,경북 경주시 보문로 484-7,호텔
29,구룡포일본인가옥거리,경북 포항시 남구 구룡포길 0-0,테마공원
30,김천역,경북 김천시 김천로 111-0,교통시설
31,운문사,경북 청도군 운문사길 264-0,종교성지
32,직지사,경북 김천시 직지사길 95-0,종교성지
33,구미종합버스터미널,경북 구미시 송원동로 72-0,교통시설
34,한화리조트경주,경북 경주시 보문로 182-27,콘도미니엄
35,안동역,경북 안동시 경동로 122-16,교통시설
36,경산역,경북 경산시 중앙로 1-0,교통시설
37,롯데백화점포항점,경북 포항시 북구 학산로 62-0,백화점
38,안동구시장,경북 안동시 번영1길 47-0,시장
39,금오산,경북 구미시,자연경관(산)
40,부석사,경북 영주시 부석사로 345-0,종교성지
41,죽변항,경북 울진군,자연경관(하천/해양)
42,구룡포항,경북 포항시 남구 호미로 222-1,자연경관(하천/해양)
43,오천시장,경북 포항시 남구 장기로1690번길 16-0,시장
44,안동터미널,경북 안동시 경동로 130-0,교통시설
45,켄싱턴리조트경주,경북 경주시 보문로 182-29,콘도미니엄
46,더케이호텔경주,경북 경주시 엑스포로 45-0,호텔
47,죽변해안스카이레일죽변승하차장,경북 울진군 죽변중앙로 235-12,기타레저스포츠
