순위,관광지명,주소,분류
1,유스퀘어 광주종합버스터미널,광주 서구 무진대로 904-0,교통시설
2,신세계백화점광주점,광주 서구 무진대로 932-0,백화점
3,광주송정역,광주 광산구 상무대로 201-0,교통시설
4,광주공항,광주 광산구 상무대로 420-25,교통시설
5,롯데아울렛광주수완점,광주 광산구 장신로 98-0,쇼핑몰
6,롯데백화점광주점,광주 동구 독립로 268-0,백화점
7,국립아시아문화전당,광주 동구 문화전당로 38-0,전시시설
8,김대중컨벤션센터,광주 서구 상무누리로 30-0,전시시설
9,광주기아챔피언스필드,광주 북구 서림로 10-0,레저스포츠시설
10,서부농수산물도매시장,광주 서구 매월2로 16-0,시장
11,NC웨이브충장점,광주 동구 중앙로 163-0,백화점
12,광주양동시장,광주 서구 천변좌로 238-0,시장
13,광주역,광주 북구 무등로 235-0,교통시설
14,세정아울렛,광주 서구 상무대로 773-0,쇼핑몰
15,롯데아울렛광주월드컵점,광주 서구 금화로 240-0,쇼핑몰
16,광주각화농산물도매시장,광주 북구 동문대로 260-0,시장
17,광주패밀리랜드,광주 북구 우치로 677-0,테마공원
18,홀리데이인광주호텔,광주 서구 상무누리로 55-0,호텔
19,말바우시장,광주 북구 서방로81번길 27-0,시장
20,국립광주과학관,광주 북구 첨단과기로 235-0,전시시설
21,메가박스첨단,광주 광산구 앰코로 35-0,공연시설
22,메가박스광주하남,광주 광산구 풍영철길로 15-0,공연시설
23,신세계백화점광주점신관,광주 서구 죽봉대로 61-0,백화점
24,금호월드,광주 서구 군분2로 54-0,쇼핑몰
25,광주아울렛,광주 서구 상무대로 627-0,쇼핑몰
26,CGV광주상무,광주 서구 시청로 67-0,공연시설
27,유탑부티크호텔앤레지던스,광주 서구 시청로 53-0,호텔
28,상무시민공원,광주 서구 상무자유로 59-0,도시공원
29,보이저첨단,광주 광산구 임방울대로826번길 19-20,쇼핑몰
30,산동교친수공원,광주 북구,도시공원
31,어등산CC,광주 광산구 무진대로 31-0,육상레저스포츠
32,NC백화점광주역점,광주 북구 경열로 249-0,백화점
33,광주월드컵경기장,광주 서구 금화로 240-0,레저스포츠시설
34,엠파이어관광호텔,광주 광산구 임방울대로800번길 25-0,호텔
35,라마다플라자광주호텔,광주 서구 상무자유로 149-0,호텔
36,쌍암공원,광주 광산구 첨단중앙로182번길 39-0,도시공원
37,메가박스광주상무본관,광주 서구 시청로60번길 21-6,공연시설
38,광주비엔날레전시관,광주 북구 비엔날레로 111-0,전시시설
39,CGV광주첨단,광주 광산구 임방울대로826번길 29-31,공연시설
40,우산월곡시장,광주 광산구 사암로 300-0,시장
41,국립광주박물관,광주 북구 하서로 110-0,전시시설
42,증심사,광주 동구 증심사길 177-0,종교성지
43,CGV광주터미널,광주 서구 무진대로 904-0,공연시설
44,운천저수지,광주 서구,자연경관(하천/해양)
45,광주호호수생태원,광주 북구,도시공원
46,남광주시장,광주 동구 제봉로 7-0,시장
47,풍암호수공원,광주 서구 회재로 973-0,도시공원
48,빛고을CC,광주 남구 효우로 153-0,육상레저스포츠
49,광주시립수목원,광주 남구,자연공원
50,대인시장,광주 동구 제봉로194번길 9-0,시장
51,무등시장,광주 남구 군분로 27-0,시장
52,라마다플라자충장호텔,광주 동구 천변우로 369-0,호텔
53,효천역,광주 남구,교통시설
54,롯데시네마광주광산,광주 광산구 무진대로 272-8,공연시설
55,CGV광주용봉,광주 북구 문화소통로 170-0,공연시설
56,1913송정역시장,광주 광산구 송정로8번길 0-0,시장
57,서광주역,광주 서구 풍서좌로 203-0,교통시설
58,518기념문화센터,광주 서구 내방로 152-0,전시시설
59,승촌보캠핑장,광주 남구,캠핑
60,우치공원동물원,광주 북구 우치로 677-0,테마공원
61,렛츠런CCC광주지점,광주 동구 구성로 257-0,육상레저스포츠
62,광주시립미술관,광주 북구 하서로 52-0,전시시설
63,CGV광주하남,광주 광산구 용아로400번길 30-0,공연시설
64,어린이교통공원,광주 북구 임방울대로 877-0,도시공원
65,CGV광주금남로,광주 동구 중앙로160번길 16-7,공연시설
66,송정5일시장,광주 광산구 광산로30번길 65-0,시장
67,전일빌딩245,광주 동구 금남로 245-0,기타문화관광지
68,유스퀘어문화관,광주 서구 무진대로 904-0,공연시설
69,광주디자인진흥원,광주 북구 첨단과기로176번길 27-0,전시시설
70,에콜리안광산CC,광주 광산구 오목내길 26-0,육상레저스포츠
71,무각사,광주 서구 운천로 230-0,종교성지
72,원효사,광주 북구 무등로 1514-35,종교성지
73,광주공원,광주 남구 중앙로107번길 15-0,도시공원
74,풍암저수지,광주 서구 회재로 973-0,자연경관(하천/해양)
75,운암시장,광주 북구 대자로 87-0,시장
76,우치공원,광주 북구 우치로 677-0,도시공원
77,센트럴광주호텔&레지던스,광주 서구 시청로20번길 4-0,호텔
78,사직공원,광주 남구 사직길 49-0,도시공원
79,빛고을농촌테마공원,광주 남구 포충로 966-15,테마공원
80,송산근린공원,광주 광산구 박호등임로 43-1,도시공원
81,광주시민의숲야영장,광주 북구 추암로 190-0,캠핑
82,CS호텔,광주 서구 상무평화로 128-0,호텔
83,광주실감콘텐츠큐브,광주 남구 송암로24번가길 46-0,기타문화관광지
84,롯데시네마수완,광주 광산구 장신로 98-0,공연시설
85,양산호수공원,광주 북구 하서로 309-0,도시공원
86,펭귄마을,광주 남구 천변좌로446번길 7-0,기타관광
87,사직공원전망타워,광주 남구 사직길 49-1,랜드마크관광
88,에이치원호텔,광주 북구 대자로106번길 10-6,호텔
89,롯데시네마충장로,광주 동구 충장로안길 12-0,공연시설
90,5.18기념공원,광주 서구 내방로 152-0,도시공원
91,광주축구전용경기장,광주 서구 금화로 240-0,레저스포츠시설
92,비아5일시장,광주 광산구 비아중앙로 26-1,시장
93,두바이호텔,광주 서구 상무번영로 47-0,호텔
94,구시청사거리,광주 동구,기타관광
95,광주예술의전당대극장,광주 북구 북문대로 60-0,공연시설
96,신화스포디움,광주 광산구 왕버들로 33-0,레저스포츠시설
97,광주김치타운,광주 남구 김치로 60-0,기타관광
98,광산문화예술회관,광주 광산구 광산로68번길 13-0,공연시설
99,세븐브릭스호텔,광주 서구 상무중앙로68번길 21-0,모텔
100,충장로,광주 동구 충장로 70-1,테마공원
