순위,관광지명,주소,분류
1,동대구역,대구 동구 동대구로 550-0,교통시설
2,신세계백화점대구점,대구 동구 동부로 149-0,백화점
3,더현대대구,대구 중구 달구벌대로 2077-0,백화점
4,대구국제공항,대구 동구 공항로 221-0,교통시설
5,서문시장,대구 중구 큰장로26길 45-0,시장
6,롯데아울렛이시아폴리스점,대구 동구 팔공로49길 16-0,쇼핑몰
7,EXCO서관,대구 북구 엑스코로 10-0,전시시설
8,수성못,대구 수성구,자연경관(하천/해양)
9,서대구역,대구 서구 와룡로 527-0,교통시설
10,이월드,대구 달서구 두류공원로 200-0,테마공원
11,대구농수산물도매시장,대구 북구 매천로18길 34-0,시장
12,롯데백화점대구점,대구 북구 태평로 161-0,백화점
13,호텔인터불고대구,대구 수성구 팔현길 212-0,호텔
14,대구삼성라이온즈파크,대구 수성구 야구전설로 1-0,레저스포츠시설
15,동대구터미널,대구 동구 동부로 149-0,교통시설
16,모다아울렛대구점,대구 달서구 달서대로 411-0,쇼핑몰
17,옥연지송해공원,대구 달성군,도시공원
18,롯데백화점상인점,대구 달서구 월배로 232-0,백화점
19,현대시티아울렛대구점,대구 동구 동대구로 454-0,쇼핑몰
20,서부시외버스터미널,대구 남구 월배로 496-0,교통시설
21,대구수목원,대구 달서구 화암로 342-0,자연공원
22,호텔인터불고엑스코,대구 북구 유통단지로 80-0,호텔
23,동촌유원지,대구 동구 효동로2길 72-0,복합관광시설
24,대구백화점프라자점,대구 중구 명덕로 333-0,백화점
25,호텔수성,대구 수성구 용학로 106-7,호텔
26,호텔라온제나,대구 수성구 범어천로 73-0,호텔
27,대구신세계백화점파미에타운,대구 동구 효신로 88-0,백화점
28,서문시장2지구종합상가,대구 중구 큰장로26길 25-0,시장
29,롯데아울렛대구율하점,대구 동구 안심로 80-0,쇼핑몰
30,칠성시장,대구 북구 칠성시장로 28-0,시장
31,동화사,대구 동구 동화사1길 1-0,종교성지
32,두류공원,대구 달서구 두류공원로 161-0,도시공원
33,대구광역시수산물도매시장,대구 북구 매천로 63-0,시장
34,팔공산케이블카,대구 동구 팔공산로185길 51-0,기타관광
35,북부시외버스터미널,대구 서구 서대구로 295-0,교통시설
36,EXCO동관,대구 북구 유통단지로 110-0,전시시설
37,228기념중앙공원공사중(2024년12월완공예정),대구 중구 동성로2길 80-0,도시공원
38,대구매리어트호텔,대구 동구 동부로26길 6-0,호텔
39,국립대구과학관,대구 달성군 테크노대로6길 20-0,전시시설
40,동아백화점수성점,대구 수성구 지범로 191-0,백화점
41,김광석다시그리기길,대구 중구 달구벌대로450길 0-0,테마공원
42,퀸벨호텔,대구 동구 동촌로 200-0,호텔
43,서남시장,대구 달서구 달구벌대로 1643-0,시장
44,대구미술관,대구 수성구 미술관로 40-0,전시시설
45,이지스카이CC,대구 군위군 대흥1길 48-100,육상레저스포츠
46,스파밸리,대구 달성군 가창로 891-0,테마공원
47,스파크랜드,대구 중구 동성로6길 61-0,테마공원
48,달성공원,대구 중구 달성공원로 35-0,도시공원
49,CGV연경,대구 북구 동화천로 290-0,공연시설
50,월광수변공원,대구 달서구 월곡로 5-0,도시공원
51,군위오펠GC,대구 군위군 부흥로 227-0,육상레저스포츠
52,리조트스파밸리네이처파크,대구 달성군 가창로 891-0,테마공원
53,동아백화점쇼핑점,대구 중구 달구벌대로 2085-0,백화점
54,NC아울렛엑스코점,대구 북구 유통단지로14길 22-0,쇼핑몰
55,관문시장,대구 남구 관문시장2길 43-0,시장
56,구니CC,대구 군위군 도군로 2450-0,육상레저스포츠
57,무열대체력단련장,대구 수성구 무열로 56-0,육상레저스포츠
58,CGV대구스타디움,대구 수성구 유니버시아드로 140-0,공연시설
59,화원유원지,대구 달성군 사문진로1길 40-14,복합관광시설
60,불로전통시장,대구 동구 팔공로26길 9-1,시장
61,아양아트센터,대구 동구 효동로2길 24-0,기타문화관광지
62,방촌종합시장,대구 동구 동촌로46길 2-0,시장
63,칼레이트CC,대구 군위군 서금로 342-0,육상레저스포츠
64,대구그랜드호텔,대구 수성구 동대구로 305-0,호텔
65,CGV대구월성,대구 달서구 조암로 29-0,공연시설
66,앞산빨래터공원,대구 남구 앞산순환로 365-0,도시공원
67,국립대구박물관,대구 수성구 청호로 321-0,전시시설
68,수성아트피아,대구 수성구 무학로 180-0,공연시설
69,봉덕신시장,대구 남구 봉덕로 115-0,시장
70,서대구고속버스터미널,대구 북구 팔달로 103-0,교통시설
71,봉무공원,대구 동구,도시공원
72,DGB대구은행파크,대구 북구 고성로 191-0,레저스포츠시설
73,파계사,대구 동구 파계로 741-0,종교성지
74,동구시장,대구 동구 화랑로25길 1-0,시장
75,메가박스대구이시아,대구 동구 팔공로49길 51-0,공연시설
76,롯데시네마프리미엄만경,대구 중구 국채보상로 547-0,공연시설
77,수성유원지,대구 수성구,복합관광시설
78,화본역,대구 군위군 산성가음로 711-9,교통시설
79,경상감영공원,대구 중구 경상감영길 99-0,도시공원
80,대구역,대구 북구 태평로 161-0,교통시설
81,비슬산자연휴양림,대구 달성군 일연선사길 99-0,자연공원
82,와룡시장,대구 달서구 성서서로 347-1,시장
83,계명아트센터,대구 달서구 달구벌대로 1095-0,공연시설
84,동성로,대구 중구,테마공원
85,코오롱야외음악당,대구 달서구 야외음악당로 180-0,공연시설
86,대구체력단련장,대구 동구,육상레저스포츠
87,대구콘서트하우스,대구 중구 태평로 141-0,공연시설
88,대구오페라하우스,대구 북구 호암로 15-0,공연시설
89,현풍백년도깨비시장,대구 달성군 현풍로6길 5-0,시장
90,영남꽃집,대구 동구 팔공로 42-0,농/산/어촌체험
