순위,관광지명,주소,분류
1,대전역,대전 동구 중앙로 215-0,교통시설
2,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑몰
3,신세계백화점대전신세계Art&Science,대전 유성구 엑스포로 1-0,백화점
4,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,백화점
5,대전복합터미널서관,대전 동구 동서대로 1689-0,교통시설
6,롯데백화점대전점,대전 서구 계룡로 598-0,백화점
7,서대전역,대전 중구 오류로 23-0,교통시설
8,오정농수산물도매시장,대전 대덕구 한밭대로 987-0,시장
9,NC백화점대전유성점,대전 유성구 계룡로 119-0,백화점
10,신탄진역,대전 대덕구 신탄진로 807-0,교통시설
11,대전오월드,대전 중구 사정공원로 70-0,테마공원
12,대전월드컵경기장,대전 유성구 월드컵대로 32-0,레저스포츠시설
13,한밭수목원,대전 서구 둔산대로 169-0,자연공원
14,노은농수산물도매시장,대전 유성구 노은동로 33-0,시장
15,한화생명이글스파크,대전 중구 대종로 373-0,레저스포츠시설
16,대전신세계Art&Science,대전 유성구 엑스포로 1-0,백화점
17,장태산자연휴양림,대전 서구 장안로 461-0,자연공원
18,우리들공원,대전 중구 중앙로138번길 30-0,도시공원
19,자운대쇼핑타운,대전 유성구 자운로97번길 410-0,쇼핑몰
20,국립중앙과학관,대전 유성구 대덕대로 481-0,전시시설
21,계룡스파텔,대전 유성구 온천로 81-0,호텔
22,모다아울렛대전점,대전 유성구 대정로 5-0,쇼핑몰
23,대전중앙시장,대전 동구 대전로785번길 26-0,시장
24,대전컨벤션센터제1전시장,대전 유성구 엑스포로 107-0,전시시설
25,엑스포코아,대전 유성구 엑스포로 488-0,쇼핑몰
26,대전컨벤션센터제2전시장,대전 유성구 엑스포로 87-0,전시시설
27,대전복합터미널동관,대전 동구 동서대로1695번길 30-0,교통시설
28,롯데시티호텔대전,대전 유성구 엑스포로123번길 33-0,호텔
29,유성시외버스정류소,대전 유성구 유성대로 699-0,교통시설
30,유성금호고속버스터미널,대전 유성구 장대로 54-0,교통시설
31,유성호텔(폐업),대전 유성구 온천로 9-0,호텔
32,계족산황톳길,대전 대덕구 산디로 79-70,기타레저스포츠
33,세이브존대전점,대전 서구 둔산로 201-0,대형마트
34,ICC호텔,대전 유성구 엑스포로123번길 55-0,호텔
35,호텔오노마대전,대전 유성구 엑스포로 1-0,호텔
36,호텔인터시티,대전 유성구 온천로 92-0,호텔
37,라마다호텔대전,대전 유성구 계룡로 127-0,호텔
38,한민시장,대전 서구 도솔로308번길 27-0,시장
39,도마큰시장,대전 서구 도마4길 64-0,시장
40,뿌리공원,대전 중구 뿌리공원로 79-0,도시공원
41,샤크존,대전 서구 둔산중로 19-0,쇼핑몰
42,자운대체력단련장,대전 유성구 자운로 272-83,육상레저스포츠
43,토요코인호텔대전정부청사앞점,대전 서구 둔산중로134번길 13-0,호텔
44,로데오타운,대전 서구 문정로 77-0,쇼핑몰
45,만인산자연휴양림,대전 동구 산내로 106-0,자연공원
46,CGV대전가수원,대전 서구 도안동로11번길 45-0,공연시설
47,NC백화점중앙로역점,대전 중구 중앙로 141-0,백화점
48,해돋이전망대,대전 동구,랜드마크관광
49,대전아쿠아리움,대전 중구 보문산공원로 469-0,테마공원
50,한미르대덕CC,대전 유성구 테크노중앙로 210-0,육상레저스포츠
51,CGV대전탄방,대전 서구 문정로 85-0,공연시설
52,장동산림욕장,대전 대덕구,자연공원
53,중리전통시장,대전 대덕구 중리북로37번길 11-0,시장
