순위,관광지명,주소,분류
1,김해국제공항,부산 강서구 공항진입로 108-0,교통시설
2,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,백화점
3,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑몰
4,롯데백화점부산본점,부산 부산진구 가야대로 772-0,백화점
5,김해공항국내선청사,부산 강서구 공항진입로 108-0,교통시설
6,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑몰
7,롯데백화점광복점,부산 중구 중앙대로 2-0,백화점
8,광안리해수욕장,부산 수영구 광안해변로 219-0,자연경관(하천/해양)
9,송정해수욕장,부산 해운대구 송정해변로 62-0,자연경관(하천/해양)
10,해동용궁사,부산 기장군 용궁길 86-0,종교성지
11,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연경관(하천/해양)
12,벡스코제1전시장,부산 해운대구 APEC로 55-0,전시시설
13,부산서부버스터미널,부산 사상구 사상로 201-0,교통시설
14,부산역,부산 동구 중앙대로 206-0,교통시설
15,부산종합버스터미널,부산 금정구 중앙대로 2238-0,교통시설
16,다대포해수욕장,부산 사하구 몰운대1길 14-0,자연경관(하천/해양)
17,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑몰
18,기장시장,부산 기장군 읍내로104번길 16-0,시장
19,롯데백화점동래점,부산 동래구 중앙대로 1393-0,백화점
20,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,시장
21,자갈치시장,부산 중구 자갈치해안로 52-0,시장
22,태종대,부산 영도구 전망로 24-0,역사유적지
23,국제시장,부산 중구 국제시장2길 25-0,시장
24,부산항국제여객터미널,부산 동구 충장대로 206-0,교통시설
25,아난티앳부산코브,부산 기장군 기장해안로 268-32,호텔
26,송도해수욕장,부산 서구,자연경관(하천/해양)
27,NC백화점서면점,부산 부산진구 동천로 92-0,백화점
28,신세계센텀시티몰,부산 해운대구 센텀4로 15-0,백화점
29,구포역,부산 북구 구포만세길 82-0,교통시설
30,파라다이스호텔부산,부산 해운대구 해운대해변로 296-0,호텔
31,사직야구장,부산 동래구 사직로 45-0,레저스포츠시설
32,신선대부두,부산 남구,자연경관(하천/해양)
33,메가마트동래점,부산 동래구 충렬대로 197-0,대형마트
34,롯데백화점센텀시티점,부산 해운대구 센텀남대로 59-0,백화점
35,빌라쥬 드 아난티,부산 기장군 기장해안로 267-7,콘도미니엄
36,국립해양박물관,부산 영도구 해양로301번길 45-0,전시시설
37,커넥트 현대,부산 동구 범일로 125-0,백화점
38,한화리조트해운대,부산 해운대구 마린시티3로 52-0,콘도미니엄
39,롯데월드 어드벤처 부산,부산 기장군 동부산관광로 42-0,테마공원
40,부산시민공원,부산 부산진구 시민공원로 73-0,도시공원
41,부산진시장,부산 동구 진시장로 24-0,시장
42,엄궁농산물도매시장,부산 사상구 농산물시장로9번길 11-0,시장
43,범어사,부산 금정구 범어사로 250-0,종교성지
44,허심청,부산 동래구 온천장로107번길 32-0,웰니스관광
45,벡스코제2전시장,부산 해운대구 APEC로 30-0,전시시설
46,부산어린이대공원,부산 부산진구 새싹로 295-0,테마공원
47,일광해수욕장,부산 기장군 삼성3길 0-0,자연경관(하천/해양)
48,스포원파크,부산 금정구 체육공원로399번길 324-0,도시공원
49,삼락생태공원,부산 사상구,도시공원
50,롯데호텔부산점,부산 부산진구 가야대로 772-0,호텔
51,대저생태공원,부산 강서구,도시공원
52,대변항,부산 기장군 기장해안로 0-0,자연경관(하천/해양)
53,밀락더마켓,부산 수영구 민락수변로17번길 56-0,쇼핑몰
54,다대포해변공원,부산 사하구 몰운대1길 14-0,도시공원
55,국립부산과학관,부산 기장군 동부산관광6로 59-0,전시시설
56,부산요트경기장,부산 해운대구 해운대해변로 84-0,수상레저스포츠
57,해운대블루라인파크미포정거장,부산 해운대구 달맞이길62번길 13-0,기타관광
58,부평깡통시장,부산 중구 부평1길 48-0,시장
59,웨스틴조선호텔부산,부산 해운대구 동백로 67-0,호텔
60,기장해녀촌,부산 기장군 연화1길 184-0,기타관광
61,아트몰링하단점,부산 사하구 낙동남로 1413-0,쇼핑몰
62,부산신항,부산 강서구 신항남로 330-0,자연경관(하천/해양)
63,팔레드시즈,부산 해운대구 해운대해변로298번길 24-0,콘도미니엄
64,부산신항국제터미널,부산 강서구 신항남로 330-0,교통시설
65,NC백화점부산대점,부산 금정구 부산대학로63번길 2-0,백화점
66,송도해상케이블카,부산 서구 송도해변로 171-0,기타관광
67,백운포체육공원,부산 남구 백운포로 34-0,도시공원
68,강서체육공원,부산 강서구 체육공원로 43-0,도시공원
69,그랜드조선부산,부산 해운대구 해운대해변로 292-0,호텔
70,W스퀘어,부산 남구 분포로 145-0,쇼핑몰
71,영화의전당,부산 해운대구 수영강변대로 120-0,공연시설
72,시그니엘부산,부산 해운대구 달맞이길 30-0,호텔
73,해운대CC,부산 기장군 병산2로 265-0,육상레저스포츠
74,파크하얏트부산호텔,부산 해운대구 마린시티1로 51-0,호텔
75,장안사,부산 기장군 장안로 482-0,종교성지
76,부산항제5부두,부산 동구 충장대로 314-0,자연경관(하천/해양)
77,해운대센텀호텔,부산 해운대구 센텀3로 20-0,호텔
78,SEA LIFE 부산아쿠아리움,부산 해운대구 해운대해변로 266-0,테마공원
79,르네시떼,부산 사상구 광장로 7-0,쇼핑몰
80,NC백화점해운대점,부산 해운대구 해운대로 813-0,백화점
81,신라스테이해운대,부산 해운대구 해운대로570번길 46-0,호텔
82,아난티코브,부산 기장군 기장해안로 268-32,복합관광시설
83,화명생태공원,부산 북구,도시공원
84,해운대비치골프앤리조트,부산 기장군 대변로 74-0,육상레저스포츠
85,흰여울문화마을,부산 영도구,기타관광
86,베이사이드GC,부산 기장군 이천8길 100-0,육상레저스포츠
87,CGV부산명지,부산 강서구 명지국제8로10번길 38-0,공연시설
88,감천문화마을,부산 사하구 감내2로 203-0,기타관광
89,암남공원,부산 서구 암남공원로 185-0,도시공원
90,이기대수변공원,부산 남구 이기대공원로 105-20,도시공원
91,호텔농심,부산 동래구 금강공원로20번길 23-0,호텔
92,임랑해수욕장,부산 기장군,자연경관(하천/해양)
93,마티에오시리아호텔,부산 기장군 동부산관광7로 17-0,호텔
