순위,관광지명,주소,분류
1,조치원역,세종시   으뜸길 215-0,교통시설
2,국립세종수목원,세종시   수목원로 136-0,테마공원
3,세종호수공원,세종시   다솜로 216-0,도시공원
4,세종고속시외버스터미널,세종시   갈매로 37-12,교통시설
5,대평시장,세종시   대평시장1길 12-0,시장
6,세종에머슨CC,세종시   운주산로 1510-0,육상레저스포츠
7,세종전통시장,세종시   조치원8길 42-0,시장
8,부강역,세종시   청연로 90-0,교통시설
9,CGV세종,세종시   도움1로 108-0,공연시설
10,레이캐슬CC,세종시   의당전의로 252-0,육상레저스포츠
11,메가박스세종나성,세종시   나성로 38-0,공연시설
12,베어트리파크,세종시   신송로 217-0,테마공원
13,고복저수지,세종시,자연경관(하천/해양)
14,베스트웨스턴플러스호텔세종,세종시   도움1로 7-0,호텔
15,이응다리,세종시,기타관광
16,세종필드GC,세종시   정안세종로 1569-0,육상레저스포츠
17,코트야드바이메리어트세종,세종시   다솜3로 6-0,호텔
18,세종중앙공원,세종시   중앙공원로 60-0,도시공원
19,전의역,세종시   만세길 10-0,교통시설
20,세종레스텔,세종시,기타숙박
21,세종예술의전당,세종시   국립박물관로 21-0,공연시설
22,국립어린이박물관,세종시   어울누리로 130-0,전시시설
23,금강수목원,세종시   산림박물관길 110-0,자연공원
24,어반아트리움더센트럴,세종시   나성로 96-0,쇼핑몰
25,영평사,세종시   영평사길 124-0,종교성지
26,대통령기록관,세종시   다솜로 250-0,전시시설
27,다정동복합커뮤니티센터,세종시   다정남3로 10-0,기타문화관광지
28,잭슨나인스세종점,세종시   나성북로 30-0,테마공원
29,뽀로로파크세종점,세종시   갈매로 353-0,테마공원
30,비오케이아트센터,세종시   국책연구원3로 12-0,기타문화관광지
31,금강자연휴양림,세종시   산림박물관길 110-0,자연공원
32,AK&세종,세종시   한누리대로 411-0,쇼핑몰
33,조치원읍복합커뮤니티센터,세종시   대첩로 76-0,기타문화관광지
34,숲뜰근린공원,세종시,도시공원
35,도도리파크,세종시   장등고개길 38-1,기타관광
36,점핑몬스터세종점,세종시   마음로 272-17,테마공원
37,해밀동복합커뮤니티센터,세종시,기타문화관광지
38,조치원공영버스터미널,세종시   조치원로 54-0,교통시설
39,세종전통장류박물관,세종시   배일길 90-43,전시시설
40,세종중앙공원축구장,세종시,레저스포츠시설
41,소정리역,세종시,교통시설
42,메가박스세종,세종시   새내로 122-0,공연시설
43,AK플라자세종 B관,세종시   가름로 143-0,백화점
44,원수산MTB공원,세종시   모롱지로 94-0,도시공원
45,박연문화관,세종시   갈매로 387-0,기타문화관광지
46,부강생활체육공원,세종시   부강금호로 170-0,도시공원
47,나성동복합커뮤니티센터,세종시   갈매로 280-0,기타문화관광지
48,세종시무궁화공원,세종시,도시공원
49,쥬라리움세종점,세종시   한누리대로 2275-0,테마공원
50,세종공룡월드,세종시   국세청로 32-0,테마공원
51,교과서박물관,세종시   청연로 492-14,전시시설
52,비암사,세종시   비암사길 137-0,종교성지
53,반곡동복합커뮤니티센터,세종시   반곡로 39-0,기타문화관광지
54,다온숲,세종시   깊은내길 213-0,캠핑
55,라고바움관광호텔,세종시   다솜로 185-0,호텔
56,플라잉몬스터즈,세종시   다정중앙로 45-0,테마공원
57,스카이무인호텔,세종시   소죽골길 24-0,모텔
58,커플링모텔,세종시   용포로 119-53,모텔
59,국립세종수목원연구동,세종시   수목원로 136-0,기타관광
60,충남산림박물관,세종시   산림박물관길 110-0,전시시설
61,플레이원,세종시   달빛1로 131-0,테마공원
62,갤러리모텔,세종시   세종로 464-0,모텔
63,세종어린이천문대,세종시   금송로 293-0,기타관광
64,키즈다쿵세종점,세종시   한누리대로 2165-0,테마공원
65,조치원중앙시장,세종시   장안로 10-7,시장
66,도토리숲키즈파크,세종시   영평사길 34-0,테마공원
67,고운뜰공원,세종시,도시공원
68,세종중앙공원야구장,세종시,레저스포츠시설
69,세종스테이블,세종시   평기큰골길 46-65,육상레저스포츠
70,조치원체육공원,세종시,도시공원
71,금강수변공원,세종시,도시공원
72,부강생활체육공원야구장,세종시   부강금호로 170-0,레저스포츠시설
73,전의생활체육공원,세종시   읍내황골1길 63-0,도시공원
74,청벽비발디펜션,세종시   금송로 161-0,펜션/민박
75,시크릿,세종시   조치원3길 38-0,모텔
76,밀마루전망대,세종시   도움3로 58-0,랜드마크관광
77,세종풋살파크,세종시   월성로 86-0,레저스포츠시설
78,전월산국민여가캠핑장,세종시   우주측지길 36-0,캠핑
79,뉴세종모텔,세종시   으뜸길 202-0,모텔
80,조치원1927아트센터,세종시   새내4길 17-0,기타문화관광지
81,바람재쉼터,세종시,도시공원
82,와니엘배팅센터세종점,세종시   원합강1길 19-35,기타레저스포츠
83,세종전통문화체험관,세종시   모롱지로 94-0,기타문화관광지
84,세종마루공원,세종시,도시공원
85,세종지혜의숲,세종시   국세청로 32-0,기타문화관광지
86,운주산성,세종시,역사유적지
87,원수산습지생태원,세종시   보듬4로 0-0,도시공원
88,조치원문화정원,세종시   수원지길 75-21,기타문화관광지
89,블루문오토캠핑,세종시   기와말1길 20-0,캠핑
90,고복야외수영장,세종시   도신고복로 586-0,테마공원
91,뮤즈모텔,세종시   조치원7길 8-0,모텔
92,신영롤러스케이트장,세종시   나성남로 7-16,육상레저스포츠
93,J호텔,세종시   부강외천로 362-4,모텔
94,세종시리틀야구장,세종시,레저스포츠시설
94,쁘띠몽드세종고운점,세종시   마음로 74-0,테마공원
96,풍성채캠핑장,세종시   송성길 116-0,캠핑
97,자자무인텔,세종시   샘째길 16-11,모텔
98,전동역폐역,세종시   운주산로 355-1,교통시설
99,필사랑무인텔,세종시   샘째길 16-9,모텔
