순위,관광지명,주소,분류
1,울산역,울산 울주군 울산역로 177-0,교통시설
2,현대백화점울산점,울산 남구 삼산로 261-0,백화점
3,간절곶,울산 울주군,기타관광
4,롯데백화점울산점,울산 남구 삼산로 288-0,백화점
5,울산대공원,울산 남구 대공원로 94-0,테마공원
6,태화강역,울산 남구 산업로 654-0,교통시설
7,태화강국가정원,울산 중구 샛강남길 5-0,도시공원
8,대왕암공원,울산 동구 등대로 95-0,도시공원
9,진하해수욕장,울산 울주군,자연경관(하천/해양)
10,업스퀘어,울산 남구 화합로 185-0,쇼핑몰
11,장생포고래박물관,울산 남구 장생포고래로 244-0,전시시설
12,일산해수욕장,울산 동구 해수욕장10길 21-0,자연경관(하천/해양)
13,언양자수정동굴나라,울산 울주군 자수정로 212-0,자연생태
14,울산시외버스터미널,울산 남구 화합로 133-0,교통시설
15,울산농수산물도매시장,울산 남구 삼산로 324-0,시장
16,울산공항,울산 북구 산업로 1103-0,교통시설
17,문수월드컵경기장,울산 남구 문수로 44-0,레저스포츠시설
18,골프존카운티더골프,울산 울주군 용연길 206-52,육상레저스포츠
19,주전몽돌해변,울산 동구,자연경관(하천/해양)
20,보라CC,울산 울주군 삼동로 404-0,육상레저스포츠
21,메가마트울산점,울산 북구 진장17길 10-0,대형마트
22,울산전시컨벤션센터,울산 울주군 울산역로 255-0,전시시설
23,울산CC,울산 울주군 웅촌로 1-0,육상레저스포츠
24,석남사,울산 울주군 석남로 557-0,종교성지
25,언양알프스시장,울산 울주군 장터1길 22-0,시장
26,정자항,울산 북구 정자1길 42-0,자연경관(하천/해양)
27,신라스테이울산,울산 남구 삼산로 200-0,호텔
28,공업탑,울산 남구,역사유물
29,현대백화점울산동구점,울산 동구 방어진순환도로 899-0,백화점
30,롯데시티호텔울산,울산 남구 삼산로 204-0,호텔
31,세이브존울산점,울산 남구 번영로250번길 9-0,대형마트
32,장생포고래문화마을,울산 남구 장생포고래로 271-1,기타관광
33,메가마트언양점,울산 울주군 반구대로 612-0,대형마트
34,베이스타즈CC,울산 북구 미포산업로 800-0,육상레저스포츠
35,덕신소공원,울산 울주군 덕남로 4-0,도시공원
36,남창옹기종기시장,울산 울주군 남창장터길 24-0,시장
37,호텔현대바이라한울산,울산 동구 방어진순환도로 875-0,호텔
38,신정시장,울산 남구 중앙로241번길 6-0,시장
39,덕하시장(오일장),울산 울주군,시장
40,대왕암공원출렁다리,울산 동구 등대로 140-0,기타관광
41,롯데호텔울산,울산 남구 삼산로 282-0,호텔
42,현대백화점울산점별관,울산 남구 삼산중로 76-0,백화점
43,CGV울산진장,울산 북구 진장유통로 51-10,공연시설
44,CGV울산삼산,울산 남구 화합로 185-0,공연시설
45,모다아울렛울산점,울산 북구 진장유통로 78-6,쇼핑몰
46,북울산역,울산 북구,교통시설
47,신선도원몰,울산 북구 진장17길 10-0,쇼핑몰
48,정자해수욕장,울산 북구 동해안로 0-0,자연경관(하천/해양)
49,선암호수공원,울산 남구 선암호수길 104-0,도시공원
50,울산과학관,울산 남구 남부순환도로 111-0,전시시설
51,작천정계곡,울산 울주군 등억알프스로 64-0,자연경관(산)
52,울산시립미술관,울산 중구 미술관길 72-0,전시시설
53,머큐어앰배서더호텔울산,울산 북구 강동산하2로 7-0,호텔
54,뉴코아아울렛울산점,울산 남구 삼산로 217-0,대형마트
55,영남알프스복합웰컴센터,울산 울주군 알프스온천5길 103-8,기타문화관광지
56,방어진항,울산 동구 성끝길 2-0,자연경관(하천/해양)
57,울산고속버스터미널,울산 남구 삼산로 288-0,교통시설
58,언양임시시외버스터미널,울산 울주군 언양로 22-0,교통시설
59,남창역,울산 울주군 남창역길 40-0,교통시설
60,명선도,울산 울주군,자연경관(하천/해양)
61,타니베이호텔,울산 동구 해수욕장5길 43-0,호텔
62,강동몽돌해변,울산 북구,자연경관(하천/해양)
63,슬도,울산 동구,자연경관(하천/해양)
64,스타즈호텔울산점,울산 남구 남중로 65-0,호텔
65,간절곶소망우체통,울산 울주군,기타관광
66,중구문화의전당,울산 중구 종가로 405-0,공연시설
67,울산농협농수산물종합유통센터,울산 북구 진장유통로 90-0,시장
68,십리대숲(은하수길)태화강국가정원,울산 중구,도시공원
69,수암상가시장,울산 남구 수암로116번길 6-0,시장
70,송정박상진호수공원,울산 북구,도시공원
71,호텔리버사이드울산,울산 중구 젊음의거리 20-0,호텔
72,황방산생태야영장,울산 중구 주연길 52-0,캠핑
73,문수야구장,울산 남구,레저스포츠시설
74,문수국제양궁장,울산 남구 남부순환도로 209-0,육상레저스포츠
75,롯데시네마울산,울산 남구 삼산로 288-0,공연시설
76,골드그린GC,울산 울주군 방기가천로 179-0,육상레저스포츠
77,나사리해수욕장,울산 울주군,자연경관(하천/해양)
78,CGV울산신천,울산 북구 매산1로 17-0,공연시설
79,롯데영플라자울산점,울산 남구 삼산로 288-0,백화점
80,울산산업공구월드,울산 남구 갈밭로 24-0,시장
81,신불산폭포자연휴양림,울산 울주군 청수골길 175-0,자연공원
82,남창역폐역,울산 울주군 남창역길 40-0,교통시설
83,백양사,울산 중구 백양로 67-0,종교성지
84,울주군해양레포츠센터,울산 울주군 해맞이로 1560-0,수상레저스포츠
85,자수정동굴나라썰매장,울산 울주군 자수정로 212-0,육상레저스포츠
86,태화강동굴피아,울산 남구 남산로 306-0,자연생태
87,등억온천지구,울산 울주군,복합관광시설
88,작천정별빛야영장,울산 울주군 자수정로 320-0,캠핑
89,롯데시네마울산성남,울산 중구 젊음의2거리 33-0,공연시설
90,울산대교전망대,울산 동구 봉수로 155-1,랜드마크관광
91,당사해양낚시공원,울산 북구 용바위1길 0-0,도시공원
92,정광사,울산 남구 정광로4번길 14-0,종교성지
93,학성공원,울산 중구 학성공원3길 54-0,도시공원
94,호계시장,울산 북구 호계3길 17-11,시장
95,울산박물관,울산 남구 두왕로 277-0,전시시설
96,호계역폐역,울산 북구 호계6길 30-0,교통시설
97,토요코인울산삼산동,울산 남구 삼산로 308-0,콘도미니엄
98,KBS울산홀,울산 남구 번영로 212-0,공연시설
99,장생포문화창고,울산 남구 장생포고래로 110-0,기타문화관광지
100,울산발리온천,울산 울주군 상발2길 34-0,웰니스관광
