순위,관광지명,주소,분류
1,인천국제공항제1여객터미널,인천 중구 공항로 272-0,교통시설
2,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,교통시설
3,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑몰
4,인스파이어엔터테인먼트리조트,인천 중구 공항문화로 127-0,콘도미니엄
5,롯데백화점인천점,인천 미추홀구 연남로 35-0,백화점
6,월미도,인천 중구,자연경관(하천/해양)
7,을왕리해수욕장,인천 중구 용유서로302번길 16-15,자연경관(하천/해양)
8,인천종합터미널,인천 미추홀구 연남로 35-0,교통시설
9,스퀘어원,인천 연수구 청능대로 210-0,쇼핑몰
10,인천종합어시장,인천 중구 연안부두로33번길 37-0,시장
11,파라다이스시티호텔,인천 중구 영종해안남로321번길 186-0,호텔
12,인천대공원,인천 남동구 무네미로 236-0,도시공원
13,남촌농산물도매시장,인천 남동구 비류대로 763-0,시장
14,소래포구종합어시장,인천 남동구 소래역로 12-0,시장
15,송도컨벤시아,인천 연수구 센트럴로 123-0,전시시설
16,소래포구,인천 남동구 포구로 2-9,자연경관(하천/해양)
17,강화풍물시장,인천 강화군 중앙로 17-9,시장
18,동막해수욕장,인천 강화군 해안남로 1481-0,자연경관(하천/해양)
19,연안부두,인천 중구 연안부두로 0-0,자연경관(하천/해양)
20,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,도시공원
21,삼산농산물도매시장,인천 부평구 영성동로 46-0,시장
22,모다아울렛인천점,인천 서구 북항로32번안길 50-0,쇼핑몰
23,하나개해수욕장,인천 중구,자연경관(하천/해양)
24,클럽72CC바다코스,인천 중구 공항동로 392-0,육상레저스포츠
25,청라호수공원,인천 서구 크리스탈로 59-0,도시공원
26,대룡시장,인천 강화군 대룡안길 60-0,시장
27,트리플스트리트A동,인천 연수구 송도과학로16번길 33-1,쇼핑몰
28,삼목선착장,인천 중구 영종해안북로847번길 63-0,교통시설
29,인천SSG랜더스필드,인천 미추홀구 매소홀로 618-0,레저스포츠시설
30,전등사,인천 강화군 전등사로 37-41,종교성지
31,트리플스트리트D동,인천 연수구 송도과학로16번길 33-4,쇼핑몰
32,보문사,인천 강화군 삼산남로828번길 44-0,종교성지
33,모래내시장,인천 남동구 호구포로 818-0,시장
34,신포국제시장,인천 중구 우현로49번길 11-5,시장
35,네스트호텔,인천 중구 영종해안남로 19-5,호텔
36,왕산해수욕장,인천 중구,자연경관(하천/해양)
37,트리플스트리트C동,인천 연수구 송도과학로16번길 33-3,쇼핑몰
38,인천항연안여객터미널,인천 중구 연안부두로 70-0,교통시설
39,베어즈베스트청라GC,인천 서구 청라대로316번길 45-0,육상레저스포츠
40,신기시장,인천 미추홀구 인하로262번길 34-0,시장
41,뉴코아아울렛인천점,인천 남동구 인하로 485-0,대형마트
42,인천신항,인천 연수구,자연경관(하천/해양)
43,송도센트럴파크호텔,인천 연수구 테크노파크로 193-0,호텔
44,쉐라톤그랜드인천호텔,인천 연수구 컨벤시아대로 153-0,호텔
45,라마다송도호텔,인천 연수구 능허대로267번길 29-0,호텔
46,오렌지듄스GC,인천 연수구 인천신항대로 1120-0,육상레저스포츠
47,그랜드하얏트인천이스트타워,인천 중구 영종해안남로321번길 208-0,호텔
48,드림파크CC,인천 서구 자원순환로260번길 46-0,육상레저스포츠
49,부평종합시장,인천 부평구 부흥로316번길 38-3,시장
50,오크우드프리미어인천,인천 연수구 컨벤시아대로 165-0,호텔
51,CGV인천,인천 남동구 예술로 198-0,공연시설
52,모다아울렛부평점,인천 부평구 부평문화로 35-0,쇼핑몰
53,무의도,인천 중구,자연경관(하천/해양)
54,아이즈빌아울렛,인천 부평구 마장로 489-0,쇼핑몰
55,선녀바위해수욕장,인천 중구,자연경관(하천/해양)
56,십리포해변,인천 옹진군,자연경관(하천/해양)
57,인천그랜드CC,인천 서구 원석로 195-0,육상레저스포츠
58,2001아울렛부평점,인천 부평구 경원대로 1277-0,대형마트
59,인스파이어아레나,인천 중구 공항문화로 127-0,공연시설
60,화개정원,인천 강화군 교동동로471번길 6-60,도시공원
61,정서진중앙시장,인천 서구 가정로380번길 21-11,시장
62,트리플스트리트B동,인천 연수구 송도과학로16번길 33-2,쇼핑몰
63,홀리데이인송도호텔,인천 연수구 인천타워대로 251-0,호텔
64,영흥도,인천 옹진군 영흥로 294-0,자연경관(하천/해양)
65,마니산,인천 강화군,자연경관(산)
66,외포리선착장,인천 강화군 해안서로 883-0,교통시설
67,클럽72CC하늘코스,인천 중구 공항동로135번길 267-0,육상레저스포츠
68,신거북시장,인천 서구 거북로 117-0,시장
69,인천어린이과학관,인천 계양구 방축로 21-0,전시시설
70,인천항,인천 중구,자연경관(하천/해양)
71,인천항국제여객터미널,인천 연수구 국제항만대로326번길 57-0,교통시설
72,오렌지듄스영종골프클럽,인천 중구 영종해안남로321번길 184-0,육상레저스포츠
73,그랜드하얏트인천웨스트타워,인천 중구 영종해안남로321번길 190-0,호텔
74,잭니클라우스GC코리아,인천 연수구 아카데미로 209-0,육상레저스포츠
75,문학박태환수영장,인천 미추홀구 매소홀로 618-0,테마공원
76,영종도,인천 중구,자연경관(하천/해양)
77,송도달빛축제공원,인천 연수구 센트럴로 350-0,도시공원
78,오라카이송도파크호텔,인천 연수구 테크노파크로 151-0,호텔
79,CGV송도타임스페이스,인천 연수구 하모니로 158-0,공연시설
80,선학국제빙상경기장,인천 연수구 경원대로 526-0,육상레저스포츠
81,앨리웨이인천,인천 미추홀구 숙골로88번길 12-0,쇼핑몰
82,민머루해수욕장,인천 강화군,자연경관(하천/해양)
83,마시안해변,인천 중구 마시란로 118-0,자연경관(하천/해양)
84,토지금고시장,인천 미추홀구 낙섬중로38번길 5-0,시장
85,강화루지,인천 강화군 장흥로 217-0,기타레저스포츠
86,로데오거리,인천 남동구,테마공원
87,석바위시장,인천 미추홀구 경원대로 848-0,시장
88,인천국제CC,인천 서구 도요지로 37-0,육상레저스포츠
89,아트센터인천,인천 연수구 아트센터대로 222-0,공연시설
90,인천항제3부두,인천 중구,자연경관(하천/해양)
91,케이슨24,인천 연수구 컨벤시아대로391번길 20-0,기타문화관광지
92,아라마루전망대,인천 계양구 아라로 228-0,랜드마크관광
93,계양산전통시장,인천 계양구 병방시장로 62-1,시장
94,올리브백화점,인천 남동구 남동대로 880-0,백화점
95,국립생물자원관,인천 서구 환경로 42-0,전시시설
96,드림파크야생화공원,인천 서구 경인항대로 180-0,도시공원
97,월미공원,인천 중구 월미로 131-9,도시공원
98,석모도,인천 강화군,자연경관(하천/해양)
99,롯데시네마인천아시아드,인천 서구 봉수대로 806-0,공연시설
100,CGV청라,인천 서구 청라루비로 76-0,공연시설
