순위,관광지명,주소,분류
1,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광
2,목포역,전남 목포시 영산로 98-0,교통시설
3,순천역,전남 순천시 팔마로 135-0,교통시설
4,죽녹원,전남 담양군 죽녹원로 119-0,자연공원
5,LF스퀘어광양점,전남 광양시 순광로 466-0,쇼핑몰
6,쏠비치진도,전남 진도군 송군길 30-40,콘도미니엄
7,오동도,전남 여수시 오동도로 222-0,자연경관(하천/해양)
8,여수해상케이블카돌산정류장,전남 여수시 돌산로 3600-1,기타관광
9,완도항여객선터미널,전남 완도군 장보고대로 339-0,교통시설
10,향일암,전남 여수시 향일암로 1-0,종교성지
11,화엄사,전남 구례군 화엄사로 539-0,종교성지
12,여수엑스포역,전남 여수시 망양로 2-0,교통시설
13,목포해상케이블카북항승강장,전남 목포시 해양대학로 240-0,기타관광
14,아쿠아플라넷여수,전남 여수시 오동도로 61-11,테마공원
15,목포종합버스터미널,전남 목포시 영산로 525-0,교통시설
16,나주역,전남 나주시 나주역길 56-0,교통시설
17,목포연안여객선터미널,전남 목포시 해안로 182-0,교통시설
18,녹동항,전남 고흥군 비봉로 159-0,자연경관(하천/해양)
19,롯데아울렛남악점,전남 무안군 남악로162번길 80-0,쇼핑몰
20,여수예술랜드,전남 여수시 무술목길 142-1,기타레저스포츠
21,백양사,전남 장성군 백양로 1239-0,종교성지
22,메타프로방스,전남 담양군 메타프로방스1길 17-0,복합관광시설
23,여수공항,전남 여수시 여순로 386-0,교통시설
24,유탑마리나호텔&리조트,전남 여수시 오동도로 61-15,호텔
25,순천종합버스터미널,전남 순천시 장천3길 13-0,교통시설
26,라마다프라자바이윈덤여수,전남 여수시 강남로 11-0,호텔
27,낙안읍성민속마을,전남 순천시 충민길 30-0,역사유적지
28,소노캄여수,전남 여수시 오동도로 111-0,호텔
29,순천만습지,전남 순천시 순천만길 513-25,기타관광
30,만성리검은모래해변,전남 여수시,자연경관(하천/해양)
31,무안국제공항,전남 무안군 공항로 970-260,교통시설
32,섬진강기차마을,전남 곡성군 기차마을로 232-0,기타관광
33,영광종합버스터미널,전남 영광군 신남로 180-0,교통시설
34,율포해수욕장,전남 보성군 우암길 24-0,자연경관(하천/해양)
35,광양매화축제,전남 광양시 지막1길 55-0,기타문화관광지
36,호남해안로드4코스영광백수해안도로,전남 영광군,데이트코스
37,라테라스리조트&스파,전남 여수시 진모1길 29-12,콘도미니엄
38,베네치아호텔앤리조트여수,전남 여수시 오동도로 61-13,호텔
39,유월드루지테마파크,전남 여수시 안심산길 155-0,테마공원
40,불갑사,전남 영광군 불갑사로 450-0,종교성지
41,선암사,전남 순천시 선암사길 450-0,종교성지
42,대경도대합실,전남 여수시 어항단지로 124-0,자연경관(하천/해양)
43,신라스테이여수,전남 여수시 수정3길 8-0,호텔
44,해피니스CC,전남 나주시 다도로 171-60,육상레저스포츠
45,송광사,전남 순천시 송광사안길 100-0,종교성지
46,담양관방제림,전남 담양군,역사유적지
47,구례산수유꽃축제,전남 구례군,기타문화관광지
48,느러지전망관람대,전남 나주시 동강로 307-194,랜드마크관광
49,디오션리조트,전남 여수시 소호로 295-0,콘도미니엄
50,메타세쿼이아가로수길,전남 담양군,기타관광
51,CGV순천신대,전남 순천시 해광로 199-0,공연시설
