순위,관광지명,주소,분류
1,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사유적지
2,익산역,전북 익산시 익산대로 153-0,교통시설
3,전주역,전북 전주시 덕진구 동부대로 680-0,교통시설
4,정읍역,전북 정읍시 서부산업도로 305-0,교통시설
5,전주고속버스터미널,전북 전주시 덕진구 가리내로 70-0,교통시설
6,전주월드컵경기장,전북 전주시 덕진구 기린대로 1055-0,레저스포츠시설
7,롯데백화점전주점,전북 전주시 완산구 온고을로 2-0,백화점
8,롯데몰군산점,전북 군산시 조촌로 130-0,쇼핑몰
9,선유도해수욕장,전북 군산시 선유도1길 235-0,자연경관(하천/해양)
10,소노벨변산,전북 부안군 변산해변로 51-0,콘도미니엄
11,선운사,전북 고창군 선운사로 250-0,종교성지
12,전주시외버스공용터미널,전북 전주시 덕진구 가리내로 30-0,교통시설
13,광한루원,전북 남원시 요천로 1447-0,기타관광
14,전주동물원,전북 전주시 덕진구 소리로 68-0,테마공원
15,남부시장,전북 전주시 완산구 풍남문2길 63-0,시장
16,채석강,전북 부안군,기타관광
17,비응항,전북 군산시,교통시설
18,무주덕유산리조트,전북 무주군 만선로 185-0,콘도미니엄
19,변산해수욕장,전북 부안군,자연경관(하천/해양)
20,무주덕유산리조트곤돌라,전북 무주군 만선로 185-0,기타레저스포츠
21,군산CC,전북 군산시 남군산로 1685-53,육상레저스포츠
22,더메이호텔,전북 전주시 덕진구 기린대로 800-0,호텔
23,격포항,전북 부안군 격포중앙길 28-5,자연경관(하천/해양)
24,은파호수공원,전북 군산시 은파순환길 9-0,도시공원
25,금산사,전북 김제시 모악15길 1-0,종교성지
26,군산수산물종합센터,전북 군산시 내항2길 216-0,시장
27,군산고속버스터미널,전북 군산시 해망로 30-0,교통시설
28,전주덕진공원,전북 전주시 덕진구 권삼득로 390-0,도시공원
29,한국도로공사 수목원,전북 전주시 덕진구,자연공원
30,임실치즈테마파크,전북 임실군 도인2길 50-0,테마공원
31,옥정호출렁다리,전북 임실군,기타관광
32,라한호텔전주,전북 전주시 완산구 기린대로 85-0,호텔
33,선유도,전북 군산시 선유남길 34-22,자연경관(하천/해양)
34,군산근대역사박물관,전북 군산시 해망로 240-0,전시시설
35,군산공항,전북 군산시 산동길 2-0,교통시설
36,내소사,전북 부안군 내소사로 243-0,종교성지
37,대둔산케이블카,전북 완주군 대둔산공원길 55-0,기타관광
38,모다아울렛전주김제점,전북 김제시 콩쥐팥쥐로 855-0,쇼핑몰
39,남원역,전북 남원시 교룡로 71-0,교통시설
40,구시포해수욕장,전북 고창군,자연경관(하천/해양)
41,군산역,전북 군산시 내흥2길 197-0,교통시설
42,김제역,전북 김제시 두월로 198-0,교통시설
43,국립전주박물관,전북 전주시 완산구 쑥고개로 249-0,전시시설
44,미륵사지,전북 익산시 미륵사지로 362-0,역사유적지
45,부안터미널,전북 부안군 석정로 210-0,교통시설
46,그랜드힐스턴호텔,전북 전주시 완산구 서곡5길 22-5,호텔
47,한국소리문화의전당,전북 전주시 덕진구 소리로 31-0,공연시설
48,클럽디금강,전북 익산시 강변로 130-0,육상레저스포츠
49,고창읍성,전북 고창군,역사유적지
50,석정온천휴스파,전북 고창군 석정2로 173-0,웰니스관광
