순위,관광지명,주소,분류
1,제주국제공항,제주 제주시 공항로 2-0,교통시설
2,동문재래시장,제주 제주시 관덕로14길 20-0,시장
3,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,시장
4,함덕해수욕장,제주 제주시 조함해안로 525-0,자연경관(하천/해양)
5,성산일출봉,제주 서귀포시 일출로 284-12,자연경관(산)
6,협재해수욕장,제주 제주시,자연경관(하천/해양)
7,이호테우해변,제주 제주시,자연경관(하천/해양)
8,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0,전시시설
9,아쿠아플라넷제주,제주 서귀포시 섭지코지로 95-0,테마공원
10,섭지코지,제주 서귀포시 섭지코지로 107-0,기타관광
11,곽지해수욕장,제주 제주시,자연경관(하천/해양)
12,한라산둘레길사려니숲길,제주 제주시,기타레저스포츠
13,김녕해수욕장,제주 제주시 해맞이해안로 7-6,자연경관(하천/해양)
14,비자림,제주 제주시 비자숲길 55-0,자연공원
15,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0,호텔
16,성산포종합여객터미널,제주 서귀포시 성산등용로 130-21,교통시설
17,용머리해안,제주 서귀포시 사계남로216번길 24-32,기타관광
18,주상절리대,제주 서귀포시 이어도로 36-30,기타관광
19,아르떼뮤지엄제주,제주 제주시 어림비로 478-0,전시시설
20,제주항연안여객터미널,제주 제주시 임항로 111-0,교통시설
21,카멜리아힐,제주 서귀포시 병악로 166-0,테마공원
22,천지연폭포,제주 서귀포시 서문서로 1-1,자연경관(산)
23,산방산탄산온천,제주 서귀포시 사계북로41번길 192-0,웰니스관광
24,스누피가든,제주 제주시 금백조로 930-0,기타관광
25,신창풍차해안도로,제주 제주시,데이트코스
26,금능해수욕장,제주 제주시 금능길 119-10,자연경관(하천/해양)
27,제주신화월드랜딩리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄
28,금오름,제주 제주시,자연관광(산)
29,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0,호텔
30,새별오름,제주 제주시,자연관광(산)
31,중문색달해변,제주 서귀포시 중문관광로72번길 0-0,자연경관(하천/해양)
32,에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원
33,소노벨제주,제주 제주시 신북로 577-0,콘도미니엄
34,그랜드하얏트제주,제주 제주시 노연로 12-0,호텔
35,파르나스호텔제주,제주 서귀포시 중문관광로72번길 100-0,호텔
36,정방폭포,제주 서귀포시,자연경관(산)
37,표선해수욕장,제주 서귀포시,자연경관(하천/해양)
38,메종글래드제주호텔,제주 제주시 노연로 80-0,호텔
39,9.81파크,제주 제주시 천덕로 880-24,테마공원
40,소노캄제주,제주 서귀포시 일주동로 6347-17,콘도미니엄
41,용두암,제주 제주시 용두암길 15-0,기타관광
42,쇠소깍,제주 서귀포시 쇠소깍로 128-0,기타관광
43,제주신화월드,제주 서귀포시 신화역사로304번길 139-0,복합관광시설
44,월정리해변,제주 제주시,자연경관(하천/해양)
45,그랜드조선제주,제주 서귀포시 중문관광로72번길 60-0,호텔
46,휘닉스제주,제주 서귀포시 섭지코지로 107-0,콘도미니엄
47,제주민속오일시장,제주 제주시 오일장서길 26-0,시장
48,한화리조트제주,제주 제주시 명림로 575-107,콘도미니엄
49,도두동무지개해안도로,제주 제주시,데이트코스
50,제주신화월드신화리조트관,제주 서귀포시 신화역사로304번길 38-0,콘도미니엄
51,금호제주리조트,제주 서귀포시 태위로 522-12,콘도미니엄
52,산방산,제주 서귀포시 산방로 218-10,자연경관(산)
53,해비치호텔,제주 서귀포시 민속해안로 537-0,호텔
54,하귀애월해안도로,제주 제주시,데이트코스
55,삼양해수욕장,제주 제주시,자연경관(하천/해양)
56,사계해수욕장,제주 서귀포시,자연경관(하천/해양)
57,비밀의숲,제주 제주시,자연공원
58,라마다프라자제주호텔,제주 제주시 탑동로 66-0,호텔
59,우도도항선선착장,제주 서귀포시 성산등용로 130-21,교통시설
60,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0,테마공원
61,제주관광공사면세점,제주 서귀포시 중문관광로 224-0,면세점
62,판포포구,제주 제주시,자연경관(하천/해양)
63,제주신화월드서머셋,제주 서귀포시 신화역사로304번길 89-0,콘도미니엄
64,성산항,제주 서귀포시,자연경관(하천/해양)
