순위,관광지명,주소,분류
1,천안아산역,충남 아산시 희망로 100-0,교통시설
2,대천해수욕장,충남 보령시,자연경관(하천/해양)
3,천안종합버스터미널,충남 천안시 동남구 만남로 43-0,교통시설
4,신세계백화점천안아산점,충남 천안시 동남구 만남로 43-0,백화점
5,삽교호관광지,충남 당진시 삽교천3길 100-0,복합관광시설
6,예산상설시장,충남 예산군 예산시장길 2-0,시장
7,독립기념관,충남 천안시 동남구 독립기념관로 1-0,전시시설
8,갤러리아백화점센터시티점,충남 천안시 서북구 공원로 227-0,백화점
9,동학사,충남 공주시 동학사1로 462-0,종교성지
10,삼길포항,충남 서산시,자연경관(하천/해양)
11,스플라스리솜예산,충남 예산군 온천단지3로 45-7,콘도미니엄
12,퍼스트빌리지,충남 아산시 해위안길 127-0,쇼핑몰
13,꽃지해수욕장,충남 태안군 꽃지해안로 400-0,자연경관(하천/해양)
14,당진버스터미널,충남 당진시 밤절로 149-0,교통시설
15,수덕사,충남 예산군 수덕사안길 79-0,종교성지
16,롯데아울렛부여점,충남 부여군 백제문로 387-0,쇼핑몰
17,온양온천역,충남 아산시 온천대로 1496-0,교통시설
18,해미읍성,충남 서산시 남문2로 143-0,역사유적지
19,서산공용버스터미널,충남 서산시 안견로 190-0,교통시설
20,예당호출렁다리,충남 예산군,기타관광
21,소노벨천안,충남 천안시 동남구 종합휴양지로 200-0,콘도미니엄
22,신정호수공원,충남 아산시,도시공원
23,남당항,충남 홍성군 남당항로213번길 1-0,자연경관(하천/해양)
24,모다아울렛천안아산점,충남 천안시 서북구 공원로 196-0,쇼핑몰
25,공주종합버스터미널,충남 공주시 신관로 74-0,교통시설
26,파라다이스스파도고,충남 아산시 도고온천로 176-1,웰니스관광
27,마곡사,충남 공주시 마곡사로 966-0,종교성지
28,서천특화시장임시시장,충남 서천군 남산로 316-0,시장
29,만리포해수욕장,충남 태안군 만리포2길 138-0,자연경관(하천/해양)
30,천안중앙시장,충남 천안시 동남구 사직로 7-0,시장
31,대천항,충남 보령시,자연경관(하천/해양)
32,롯데리조트부여,충남 부여군 백제문로 400-0,콘도미니엄
33,장고항,충남 당진시 장고항로 334-0,자연경관(하천/해양)
34,홍원항,충남 서천군,자연경관(하천/해양)
35,아일랜드리솜태안,충남 태안군 꽃지해안로 204-0,콘도미니엄
36,국립생태원,충남 서천군 금강로 1210-0,기타관광
37,논산역,충남 논산시 해월로 236-12,교통시설
38,왜목마을해수욕장,충남 당진시 왜목길 26-0,자연경관(하천/해양)
39,무창포해수욕장,충남 보령시 열린바다1길 10-0,자연경관(하천/해양)
40,신진항,충남 태안군 신진부두길 35-26,자연경관(하천/해양)
41,솔라고CC,충남 태안군 기업도시9길 176-0,육상레저스포츠
42,대천항수산시장,충남 보령시 대천항로 334-0,시장
43,천안시농수산물도매시장,충남 천안시 서북구 천안대로 1347-0,시장
44,외암리민속마을,충남 아산시 외암민속길 42-7,역사유적지
45,공산성,충남 공주시 웅진로 280-0,역사유적지
46,태안공영버스터미널,충남 태안군 동백로 304-0,교통시설
47,한화리조트대천파로스,충남 보령시 해수욕장3길 11-10,콘도미니엄
48,아산시외버스터미널,충남 아산시 번영로 225-0,교통시설
49,천안축구센터,충남 천안시 서북구 축구센터로 150-0,레저스포츠시설
50,춘장대해수욕장,충남 서천군,자연경관(하천/해양)
51,현충사,충남 아산시 현충사길 48-0,역사유적지
52,궁남지,충남 부여군 궁남로 52-0,역사유적지
53,대천역,충남 보령시 대해로 116-0,교통시설
54,아산스파비스,충남 아산시 아산온천로157번길 67-0,웰니스관광
55,예산역,충남 예산군 역전로 83-0,교통시설
56,몽산포해수욕장,충남 태안군,자연경관(하천/해양)
57,안면도수산시장,충남 태안군 장터로 104-0,시장
58,상화원,충남 보령시 남포방조제로 408-52,도시공원
59,한진포구,충남 당진시 한진포구길 49-0,자연경관(하천/해양)
60,SG아름다운골프앤리조트,충남 아산시 영인산로 440-0,육상레저스포츠
61,백사장항,충남 태안군,자연경관(하천/해양)
62,플라밍고CC,충남 당진시 산단8로 299-0,육상레저스포츠
63,오천항,충남 보령시 오천해안로 781-14,자연경관(하천/해양)
64,로얄링스CC,충남 태안군 기업도시6길 43-0,육상레저스포츠
65,오션어드벤처,충남 천안시 동남구 종합휴양지로 200-0,테마공원
66,탑정호출렁다리,충남 논산시,기타관광
67,홍성역,충남 홍성군 조양로 272-0,교통시설
68,현충사곡교천은행나무길,충남 아산시,기타관광
69,파인스톤CC,충남 당진시 무수들길 90-0,육상레저스포츠
70,피나클랜드,충남 아산시 월선길 20-42,테마공원
71,온양온천랜드,충남 아산시 삼동로28번길 46-0,웰니스관광
72,천안상록CC,충남 천안시 동남구 수신로 557-0,육상레저스포츠
73,광천역,충남 홍성군 광천로273번길 85-0,교통시설
74,백제CC,충남 부여군 충절로 3734-82,육상레저스포츠
75,백제문화단지,충남 부여군 백제문로 455-0,복합관광시설
76,간월암,충남 서산시 간월도1길 119-29,종교성지
77,영인산자연휴양림,충남 아산시 아산온천로 16-26,자연공원
78,지중해마을,충남 아산시 탕정면로8번길 55-7,기타관광
79,구룡체력단련장,충남 계룡시 계룡대9로 104-0,육상레저스포츠
80,천리포수목원,충남 태안군 천리포1길 187-0,테마공원
81,예산종합버스터미널,충남 예산군 금오대로 35-14,교통시설
82,신라스테이천안,충남 천안시 서북구 동서대로 177-0,호텔
83,국립부여박물관,충남 부여군 금성로 5-0,전시시설
84,삽교호놀이동산,충남 당진시 삽교천3길 15-0,테마공원
85,공주산성시장,충남 공주시 용당길 20-0,시장
86,공주역,충남 공주시 새빛로 100-0,교통시설
87,개심사,충남 서산시 개심사로 321-86,종교성지
88,합덕공용버스터미널,충남 당진시 면천로 1714-0,교통시설
89,각원사,충남 천안시 동남구 각원사길 245-0,종교성지
90,갑사,충남 공주시 갑사로 567-3,종교성지
91,비체팰리스,충남 보령시 열린바다1길 78-0,콘도미니엄
92,안면도자연휴양림,충남 태안군 안면대로 3195-6,자연공원
93,강경역,충남 논산시,교통시설
94,태안세계튤립꽃박람회,충남 태안군 꽃지해안로 400-0,기타문화관광지
95,천안상록리조트,충남 천안시 동남구 수신로 576-0,복합관광시설
96,CGV천안펜타포트,충남 천안시 서북구 공원로 196-0,공연시설
97,장항송림산림욕장,충남 서천군 장항산단로34번길 104-0,자연공원
98,계룡역,충남 계룡시 팥거리로 95-0,교통시설
99,서산동부전통시장,충남 서산시 시장3길 3-0,시장
100,장항스카이워크,충남 서천군 장항산단로34번길 122-16,랜드마크관광
