순위,관광지명,주소,분류
1,오송역,충북 청주시 흥덕구 오송가락로 123-0,교통시설
2,청주국제공항,충북 청주시 청원구 오창대로 980-0,교통시설
3,청주시외버스터미널,충북 청주시 흥덕구 풍산로 6-0,교통시설
4,현대백화점충청점,충북 청주시 흥덕구 직지대로 308-0,백화점
5,단양구경시장,충북 단양군 도전5길 31-0,시장
6,소노문단양,충북 단양군 삼봉로 187-17,콘도미니엄
7,청남대,충북 청주시 상당구 청남대길 646-0,기타관광
8,포레스트리솜,충북 제천시 금봉로 365-0,콘도미니엄
9,롯데아울렛청주점,충북 청주시 흥덕구 2순환로 1004-0,쇼핑몰
10,충주공용버스터미널,충북 충주시 봉계1길 49-0,교통시설
11,오창호수공원,충북 청주시 청원구 오창공원로 311-0,도시공원
12,제천역,충북 제천시 의림대로 1-0,교통시설
13,만천하스카이워크,충북 단양군 옷바위길 10-0,랜드마크관광
14,떼제베CC,충북 청주시 흥덕구 동림2길 149-0,육상레저스포츠
15,진천농다리,충북 진천군,역사유적지
16,청풍호반케이블카,충북 제천시 문화재길 166-0,기타관광
17,활옥동굴,충북 충주시 목벌안길 26-0,자연생태
18,도담삼봉,충북 단양군 삼봉로 644-0,기타관광
19,의림지,충북 제천시,자연경관(하천/해양)
20,법주사,충북 보은군 법주사로 405-0,종교성지
21,구인사,충북 단양군 구인사길 73-0,종교성지
22,육거리종합시장,충북 청주시 상당구 상당로1번길 17-0,시장
23,대영힐스CC,충북 충주시 성종두담길 114-0,육상레저스포츠
24,올데이CC,충북 충주시 비내길 189-0,육상레저스포츠
25,청주고속버스임시터미널,충북 청주시 흥덕구 2순환로 1228-0,교통시설
26,그랜드CC,충북 청주시 청원구 꽃화산길 51-20,육상레저스포츠
27,대청댐전망대,충북 청주시 상당구 대청호반로 206-0,랜드마크관광
28,충주역,충북 충주시 충원대로 539-0,교통시설
29,임페리얼레이크CC,충북 충주시 다래울길 52-0,육상레저스포츠
30,진양밸리골프클럽,충북 음성군 금일로 1195-0,육상레저스포츠
31,감곡CC,충북 음성군 오갑길 195-0,육상레저스포츠
32,아난티 중앙 골프클럽,충북 진천군 배티로 818-105,육상레저스포츠
